"Refid","refID"
"Bibliography","FullReference"
"User","user"
"Ris Code","risCode"
"Level","level"
" Experimental infection_k","experimentalInfection"
"studyGroupID","groupID"
"sampY
Year the study was conducted
(use -1 when not reported)","year"
"agent
Causative agent of vector borne diseases","agent"
"agentSubtypeType 
What type of further detailed information is given regarding the agent. select here, and type below.","agentSubtypeType"
"agentSubtypeType 
What type of further detailed information is given regarding the agent. select here, and type below._comment","agentSubtypeTypeC"
"agentDetails
Type here any  detailed information about the pathogen, such as specific seritype, genotype, strain, etc","agentDetails"
"agentSubtype
(question from DACRAH1 - NO NEED TO ANSWER)","agentSubtype"
"studyTargetSpecies
Species used in study","targetSpecies"
"studyTargetSpecies
Species used in study_comment","targetSpeciesC"
"minAgeMonths
The minimum age of the animals in this study group, in MONTHS.
(use -1 when not reported)","minAgeMonths"
"maxAgeMonths
The maximum age of the animals in this study group, in MONTHS.
(use -1 when not reported)","maxAgeMonths"
"ageMonths
(question from DACRAH 1 - NO NEED TO ANSWER)","ageMonths"
"sampUnitSize
Number of animals infected
(use -1 when not reported)","sampUnitSize"
"route
Route of exposure  -> DERMAL","routeDermal"
"route
Route of exposure  -> INTRAMUSCULAR","routeIntramuscular"
"route
Route of exposure  -> INTRAPERITONEAL","routeIntraperitonial"
"route
Route of exposure  -> INTRATRACHEAL","routeIntratracheal"
"route
Route of exposure  -> INTRAVENEOUS","routeIntravenous"
"route
Route of exposure  -> SUBCUTANEOUS","routeSubcutaneous"
"route
Route of exposure  -> INHALATION: UNSPECIFIED","routeInhhalationUnespecified"
"route
Route of exposure  -> INHALATION: AEROSOL","routeInhalationAerosol"
"route
Route of exposure  -> INHALATION: DUST","routInhalationDust"
"route
Route of exposure  -> INHALATION: GAS","routeInhalationGas"
"route
Route of exposure  -> INHALATION: VAPOUR","routeInhalationVapour"
"route
Route of exposure  -> ORAL: DRINKING WATER","routeInhalationWater"
"route
Route of exposure  -> ORAL: FEED","routeOralFeed"
"route
Route of exposure  -> ORAL: UNSPECIFIED","routeOralUnespecified"
"route
Route of exposure  -> INTRAVAGINAL","routeIntravaginal"
"route
Route of exposure  -> VECTOR BITE","routeVectorBite"
"route
Route of exposure  -> INFUSION","routeInfusion"
"route
Route of exposure  -> Direct contact with an infected animal","routeDirectContact"
"route
Route of exposure  -> Indirect contact with an infected animals","routeIndirectContact"
"route
Route of exposure  -> Intradermal","routeIntradermal"
"route
Route of exposure  -> Fertilization with an infected embryo","routeFertilizationInfectedEmbryo"
"route
Route of exposure  -> Inoculation of foetus in uterus","routeInculationFaetusInUterus"
"route
Route of exposure  -> oral ingestion of infected vectors","routeIngestionInfectedVector"
"route
Route of exposure  -> Infected semen","routeInfectedSemen"
"route
Route of exposure  -> Intraepithelial in tongue","routeIntraEphitelialTongue"
"route
Route of exposure  -> Intranasal","routeIntraNasal"
"route
Route of exposure  -> Intrauterine","routeIntraUterine"
"route
Route of exposure  -> Sexual","routeSexual"
"route
Route of exposure  -> Transplacental","routeTransplacental"
"route
Route of exposure  -> Scarification of oral mucosa","routeScarificationOralMucosa"
"route
Route of exposure  -> Oronasal","routeOronasal"
"route
Route of exposure  -> Scarification","routeScarification"
"route
Route of exposure  -> Intrathecal","routeIntrathecal"
"route
Route of exposure  -> Intracerebral","routeIntracerebral"
"route
Route of exposure  -> Intracardial","routeIntracardial"
"route
Route of exposure  -> Intraocular","routeIntraocular"
"route
Route of exposure  -> Colostrum","routeColostrum"
"route
Route of exposure  -> not mentioned","routeNotMentioned"
"route
Route of exposure  -> Other:specify","routeOther"
"route
Route of exposure  -> Other:specify (COMMENT)","routeOtherC"
"route
Route of exposure  -> Injection into yolk sac","routeInjectionYolkSac"
"route
Route of exposure  -> intra subarachnoid","routeIntraSubarachnoid"
"Transplac
Evidence of transplacental transmission through detection of the virus in the foetus or in the neonate, excluding experimental infection in utero and vectorial infection in neonates","transplac"
"HostHost
Evidence of direct host-to-host transmission trhough experiments including contact animals and excluding vectorial transmission","hostHost"
"durationPI
How many days, after inoculation, the animals were kept (if reported)
(use -1 if not reported)","durationPI"
"minIncub
Minimum number of days post inoculation to observe clinical signs
(use -1 if not reported)","minIncub"
"maxIncub
Maximum number of days post inoculation to observe clinical signs
(use -1 if not reported)","maxIncub"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Dead during experiment because of illnes, caused by the infection","deadInfection"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Dead during experiment because of illnes, caused by the infection (COMMENT)","nrDeadInfection"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Dead during experiment because of other reason","deadOther"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Dead during experiment because of other reason (COMMENT)","nrDeadOther"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised during experiment because of illness due to the infection","eutInfection"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised during experiment because of illness due to the infection (COMMENT)","nrEutInfection"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised during experiment because of other reasons/other illnesses","eutOther"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised during experiment because of other reasons/other illnesses (COMMENT)","nrEutOther"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised during experiment because of protocol (for example collecting samples)","eutProtocol"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised during experiment because of protocol (for example collecting samples) (COMMENT)","nrEutProtocol"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised at the end of the experiment period","eutEnd"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Euthanised at the end of the experiment period (COMMENT)","nrEutEnd"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Other: describe AND give number","deadNotInPickList"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> Other: describe AND give number (COMMENT)","nrDeadNotInPickList"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> NO ANIMALS DIED during the study period","NoDeath"
"dead
Number of dead animals (or percentage), by reason (CHECK box for any relevant reason reportd, AND add the number of animals at the end) -> NOT REPORTED","deathNotReported"
"deadUnits
whether mortality was reported as number of dead, or percentage","unitDead"
"minMortalityTime
Report the time between experimental infection and recorded mortality – minimum reported for the animal group","minMortTime"
"maxMortalityTime
Report the time between experimental infection and recorded mortality – maximum reported for the animal group","maxMortTime"
"MortalityTimeUnits
The units for the reported time to mortality","unitMortTime"
"MortalityTimeUnits
The units for the reported time to mortality_comment","unitMortTimeC"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign, a","CS_Fever"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign2","CSnr_Fever"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign3","CS_Diarrhea"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign4","CSnr_Diarrhea"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign5","CS_Anemia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign6","CSnr_Anemia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign7","CS_Recumbent"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign8","CSnr_Recumbent"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign9","CS_ExternalHemorrhages"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign10","CSnr_ExternalHemorrhages"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign11","CS_InternalHemorrhages"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign12","CSnr_InternalHemorrhages"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign13","CS_NasalDischarge"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign14","CSnr_NasalDischarge"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign15","CS_Coughing"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign16","CSnr_Coughing"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign17","CS_AbscessFistula"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign18","CSnr_AbscessFistula"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign19","CS_UlcerVesiculae"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign20","CSnr_UlcerVesiculae"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign21","CS_CKD"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign22","CSnr_CKD"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign23","CS_Infertility"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign24","CSnr_Infertility"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign25","CS_VaginalDischarge"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign26","CSnr_VaginalDischarge"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign27","CS_Mastitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign28","CSnr_Mastitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign29","CS_Encephalopathy"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign30","CSnr_Encephalopathy"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign31","CS_Vertigo"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign32","CSnr_Vertigo"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign33","CS_CongestionSkin"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign34","CSnr_CongestionSkin"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign35","CS_Oedema"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign36","CSnr_Oedema"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign37","CS_Conjunctivitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign38","CSnr_Conjunctivitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign39","CS_DepressionApathyProstration"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign40","CSnr_DepressionApathyProstration"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign41","CS_LocomotionProblems"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign42","CSnr_LocomotionProblems"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign43","CS_Abscence"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign44","CSnr_Abscence"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign45","CS_RespDistressLowerAirwaysSymp"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign46","CSnr_RespDistressLowerAirwaysSymp"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign47","CS_Salivation"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign48","CSnr_Salivation"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign49","CS_Anorexia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign50","CSnr_Anorexia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign51","CS_CyanosisBT"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign52","CSnr_CyanosisBT"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign53","CS_AbortionStillbirthMumified"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign54","CSnr_AbortionStillbirthMumified"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign55","CS_Malformation"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign56","CSnr_Malformation"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign57","CS_StuntedGrowth"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign58","CSnr_StuntedGrowth"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign59","CS_JointSwellingArthritis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign60","CSnr_JointSwellingArthritis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign61","CS_Convulsion"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign62","CSnr_Convulsion"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign63","CS_Nystagmus"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign64","CSnr_Nystagmus"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign65","CS_Dysentery"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign66","CSnr_Dysentery"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign67","CS_Lymphadenopathy"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign68","CSnr_Lymphadenopathy"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign69","CS_Hepatitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign70","CSnr_Hepatitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign71","CS_Splenomegaly"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign72","CSnr_Splenomegaly"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign73","CS_Onycogryphosis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign74","CSnr_Onycogryphosis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign75","CS_FurFeathersChanges"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign76","CSnr_FurFeathersChanges"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign77","CS_Dermatitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign78","CSnr_Dermatitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign79","CS_FoamingMouth"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign80","CSnr_FoamingMouth"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign81","CS_Rhinitis"
