Disease;;disease;;species;;geo gistribution string;;scoping >=1970;scoping >=1990;scoping >=2000;Notes on search sdjustments;Suggested final
0template;TITLE-ABS-KEY (;;AND;(Human OR Homo OR Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Pig OR Hog OR Suis OR Suidae OR Ass OR Donkey OR Equus OR Horse OR equine OR equid OR Zebra OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Rabbit OR Oryctolagus OR Leporidae OR Cat OR Felis OR Dog OR Canis OR Chicken* OR Gallus OR Hen OR Avian OR Gallina* OR Turkey* OR Meleagridis OR Duck* OR Anatidae OR Pigeon* OR Columbidae OR Parrot* OR Psittacidae OR Parakeet* OR Psittaculidae OR Ostrich* OR Struthio OR ”Bird of prey” OR ”Birds of prey” OR Tytonidae OR Strigidae OR Cathartidae OR Sagittariidae OR Pandionidae OR Accipitridae OR Falconidade OR raptor* OR Falconiform* OR Strigiform* OR owl* OR vultur* OR falcon* OR hawk* OR eagle* OR raptor* OR osprey* OR kite* OR buzzard OR harrier* OR caracara* OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;(prevalence OR incidence OR epidemic OR endemic* OR outbreak OR surveillance OR monitoring OR occurr* OR detect* OR alert OR alarm OR case);")  AND  ( PUBYEAR AFT 1970) AND  ( LIMIT-TO ( DOCTYPE ,  ""ar"" ) ) ";;;;"endemic brings up papers which always starts as ""in endemic regions….""; detect* brins up diagnostic test papers --> these papers are easy to spot out during screening - so question is, should we refine the search or make the screening easier?";
Rift Valley fever*;TITLE-ABS-KEY (;(“Rift Valley fever”);AND;(Human OR Homo OR Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Pig OR Hog OR Suis OR Suidae OR Ass OR Donkey OR Equus OR Horse OR Zebra OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Rabbit OR Oryctolagus OR Leporidae OR Cat OR Felis OR Dog OR Canis OR Chicken* OR Gallus OR Hen OR Avian OR Gallina* OR Turkey* OR Meleagridis OR Duck* OR Anatidae OR Pigeon* OR Columbidae OR Parrot* OR Psittacidae OR Parakeet* OR Psittaculidae OR Ostrich* OR Struthio OR ”Bird of prey” OR ”Birds of prey” OR Tytonidae OR Strigidae OR Cathartidae OR Sagittariidae OR Pandionidae OR Accipitridae OR Falconidade OR raptor* OR Falconiform* OR Strigiform* OR owl* OR vultur* OR falcon* OR hawk* OR eagle* OR raptor* OR osprey* OR kite* OR buzzard OR harrier* OR caracara* OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;(prevalence OR incidence OR epidemic OR endemic* OR outbreak OR surveillance OR monitoring OR occurr* OR detect* OR alert OR alarm OR case);")  AND  ( PUBYEAR AFT 1970) AND  ( LIMIT-TO ( DOCTYPE ,  ""ar"" ) ) ";;;;;
Peste des petit ruminants;TITLE-ABS-KEY (;"(“peste des petits ruminants” OR ""ovine rinderpest"")";AND;(Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;only sheep and goats included;
Sheep and got pox;TITLE-ABS-KEY (;(“Sheep pox” OR “goat pox” OR sheeppox OR goatpox);AND;(Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;only sheep and goats included;
Classical Swine Fever;TITLE-ABS-KEY (;(“Classical swine fever”);AND;(Pig OR Hog OR Suis OR Suidae OR Tayassuidae OR peccary OR javelina );AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Newcastle;TITLE-ABS-KEY (;(“Newcastle disease” OR “Newcastle virus”);AND;(Chicken* OR Gallus OR Hen OR Avian OR Gallina* OR Turkey* OR Meleagridis OR Duck* OR Anatidae OR Pigeon* OR Columbidae OR Parrot* OR Psittacidae OR Parakeet* OR Psittaculidae OR Ostrich* OR Struthio OR ”Bird of prey” OR ”Birds of prey” OR Tytonidae OR Strigidae OR Cathartidae OR Sagittariidae OR Pandionidae OR Accipitridae OR Falconidade OR raptor* OR Falconiform* OR Strigiform* OR owl* OR vultur* OR falcon* OR hawk* OR eagle* OR raptor* OR osprey* OR kite* OR buzzard OR harrier* OR caracara*);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Contagious bovine pleuropneumonia;TITLE-ABS-KEY (;(“Mycoplasma Mycoides” OR “Contagious bovine pleuropneumonia”);AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Contagious caprine pleuropneumonia;TITLE-ABS-KEY (;(”Contagious caprine pleuropneumonia” OR “Mycoplasma capricolum”);AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Glanders;TITLE-ABS-KEY (;(“Burkholderia mallei” OR “Glanders”);AND;(Ass OR Donkey OR Equus OR Horse OR equine OR equid OR Zebra);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Rinderpest;TITLE-ABS-KEY (;(rinderpest);AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
