"Refid","Bibliography","User","Ris Code","Level","DE_VBD_PREVALENCE_FINAL_k","studyID
Unique ID to link all observations from the same study or experiment","agent
Causative agent of vector borne diseases","agentSubtypeType","agentSubtypeType_comment","agentDetails
The further information given regarding the sutype type given above. ","sampCountry
Country where study was performed","sampCountry
Country where study was performed_comment","SampArea_text
Please provide the name of the sampled area.","Sampling context
reason for sampling, type of study, surveillance types","Sampling context
reason for sampling, type of study, surveillance types_comment","Reason for sampling
Free text to describe the reason for performing pathogen testing (e.g. serological survey, trade purposes), if not already clear from the study type","Disease situation / outbreak phase
Please report outbreak phase or any other information given regarding the disease situation in the area. ","sampY
Start year of study/outbreak
(-1 if not specified)","sampM
Start month of study/outbreak
(-1 if not specified)","duration
Duration of study/outbreak in months","analysisY
Year when the analysis was completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed_comment","sampPoint
Point in the food chain, where the samples were taken","sampPoint
Point in the food chain, where the samples were taken_comment","sampStrategy
Strategy used to select sample units for laboratory analysis","sampStrategy
Strategy used to select sample units for laboratory analysis_comment","Longitudinal/Repeated sampling?
if this is a longitudinal study, describe the scheme of sampling (for instance paired samples with 2 months interval). ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize","sampUnit
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize
Number of sampling units tested (sample size)","MinAgeMonths
Age of animals in months
(-1 if not specified)","MaxAgeMonths
Age of animals in months
(-1 if not specified)","sampledMatrix
Matrix sampled for testing","sampledMatrix
Matrix sampled for testing_comment","anMethCode
Laboratory test used","anMethCode
Laboratory test used_comment","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","sensitivity
Sensitivity of test","specificity
Specificity of test","nPositive
Number of animals positive","Were all cases confirmed to be IMPORTED (animals believed not to have been infected in the study area) -> YES, only IMPORTED cases","nNegative
Number of animals negative","Disease freedom
was this phrased as a disease freedom investigation?","Design prevalence
If given, in % (p.e. 2%). This is the minimum assumed prevalence of the disease in the region, if it was present.","prevalence (..%, e.g write 7, when the prevalence is 0.07 or 7%)
Reported prevalence in paper","LCI_PR
Lower Confidence interval-prevalence","UCI_PR
Upper confidence interval-prevalence","incidence
Reported incidence value","LCI_I
Lower confidence interval-incidence","UCI_I
Upper confidence interval-incidence","incidenceUnits
Units of reported incidence value","incidence Unit comments
Any further information on incidence units","R0
Basic reproduction number","Lower value of Ro range","Upper level of range or of Ro","impactMeasure
Description of the measure used / reported in the paper","impactValue
Value","impactUnit
Unit","impactUnit
Unit_comment","Clinical signs
If clinical signs were described, please list them here","Severity
If any measure of severity was described, please give an objective summary here","More info missed?
Are there more detailed information on the clinical progression, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on the type and duration of clinical signs? ","Risk factors - INCREASE RISK
if this was a study where risk factor were investigated, please list factors confirmed to be associated with increased disease risk","Risk factors - PROTECTIVE FACTOR
if this was a study where risk factor were investigated, please list factors confirmed to REDUCE disease risk","More info missed?
Are there more detailed information on risk factors, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on risk factors? ","Quality check and other notes
if relevant, please add any notes about information in the paper which you think is relevant but was not capured in the form.
Also add any notes about detected biases or other methodological flaws.","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer_comment"
3,"A. C. Dondona, O. Aschenborn, C. Pinoni, L. Di Gialleonardo, A. Maseke, G. Bortone, A. Polci, M. Scacchia, U. Molini and F. Monaco (2016).  Rift Valley Fever Virus among Wild Ruminants, Etosha National Park, Namibia, 2011 Emerging Infectious Diseases, 22(1),  128-130",andrey.gogin,,3,,2,"Rift Valley fever virus",,,,Namibia,,Oshikoto,"Surveillance active (active search for cases)",,"In the framework of the surveillance program for Emerging Infectious Diseases and Transboundary Animal Diseases in Etosha National Park provided an opportunity to investigate the role played by wildlife in RVF epidemiology.","Outbreak - On-going",2011,05,3,2011,,,"Natural habitat",,"Objective (random) sampling",,,single,,200,,,"Blood serum",,"ELISA, Competitive ELISA (C-ELISA)",,Antibody,,"ID Screen Rift Valley Fever Competition Multi-species Kit",,,70,,130,,,70,,,,,,,,,,,,,,,,,,,,,,,
9,"G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt (2015).  Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya American Journal of Tropical Medicine and Hygiene, 93(6),  1364-1370",andrey.gogin,,3,,1,"Rift Valley fever virus",,,,Madagascar,,,,,"to examine the evidence for circulation of Rift Valley fever virus (RVFV) among herders in Madagascar",,2012,,,2012,"Human (homo sapiens)",,,,"Selective (risk-based) sampling",,,single,,127,,,"Blood serum",,"IgG ELISA",,Antibody,,,,,8,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,
9,"G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt (2015).  Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya American Journal of Tropical Medicine and Hygiene, 93(6),  1364-1370",andrey.gogin,,3,,2,"Rift Valley fever virus",,,,Kenya,,Garissa,,,"to examine the evidence for circulation of Rift Valley fever virus (RVFV) among herders in Kenya",,2012,,,2012,"Human (homo sapiens)",,,,"Selective (risk-based) sampling",,,single,,230,,,"Blood serum",,"IgG ELISA",,IgG,,,,,36,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,
9,"G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt (2015).  Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya American Journal of Tropical Medicine and Hygiene, 93(6),  1364-1370",andrey.gogin,,3,,3,"Rift Valley fever virus",,,,Kenya,,"Western Province",,,"to examine the evidence for circulation of Rift Valley fever virus (RVFV) among herders in Kenya",,2012,,,2012,"Human (homo sapiens)",,,,"Selective (risk-based) sampling",,,single,,200,,,"Blood serum",,"IgG ELISA",,IgG,,,,,15,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,
11,"N. A. Al-Hamdan, A. A. Panackal, T. H. Al Bassam, A. Alrabea, M. Al Hazmi, Y. Al Mazroa, M. Al Jefri, A. S. Khan and T. G. Ksiazek (2015).  The Risk of Nosocomial Transmission of Rift Valley Fever PLoS neglected tropical diseases, 9(12),  e0004314-e0004314",andrey.gogin,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,Jizan,"Monitoring &ndash;active",,"as an outbreak response related activity.",,2000,10,1,2000,"Human (homo sapiens)",,Hospital,,"Selective (risk-based) sampling",,,single,,730,,,"Blood serum",,"IgG ELISA",,IgG,,,,,4,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,
16,"H. Boshra, T. Thang, S. Babiuk and M. G. Hemida (2015).  Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia Plos One, 10(10),  #Pages#",andrey.gogin,,3,,2,"Rift Valley fever virus",,,,"Saudi Arabia",,Riyadh,"Surveillance active (active search for cases)",,,,2007,,,2007,"Sheep (Ovis aries)",,Farm,,"Objective (random) sampling",,,single,,509,,,Blood,,"Virus neutralisation test (VNT)",,Antibody,,,,,1,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
16,"H. Boshra, T. Thang, S. Babiuk and M. G. Hemida (2015).  Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia Plos One, 10(10),  #Pages#",andrey.gogin,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,Al-Hasa,"Surveillance active (active search for cases)",,,,2007,,,2007,"Sheep (Ovis aries)",,Farm,,"Objective (random) sampling",,,single,,118,,,Blood,,"Virus neutralisation test (VNT)",,Antibody,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
16,"H. Boshra, T. Thang, S. Babiuk and M. G. Hemida (2015).  Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia Plos One, 10(10),  #Pages#",andrey.gogin,,3,,3,"Rift Valley fever virus",,,,"Saudi Arabia",,Asir,"Surveillance active (active search for cases)",,,,2007,,,2007,"Sheep (Ovis aries)",,Farm,,"Objective (random) sampling",,,single,,58,,,Blood,,"Virus neutralisation test (VNT)",,Antibody,,,,,1,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,
19,"H. J. Kim, J.-Y. Park, H.-Y. Jeoung, J.-Y. Yeh, Y.-S. Cho, J.-S. Choi, J.-Y. Lee, I.-S. Cho and H.-S. Yoo (2015).  Serological surveillance studies confirm the Rift Valley fever virus free status in South Korea Tropical Animal Health and Production, 47(7),  1427-1430",andrey.gogin,,3,,1,"Rift Valley fever virus",,,,"Korea, Republic of",,,"Survey (designed sampling)",,,,2011,,36,2013,"Cattle (Bos taurus)",,Farm,,"Objective (random) sampling",,,single,,1983,,,,,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
19,"H. J. Kim, J.-Y. Park, H.-Y. Jeoung, J.-Y. Yeh, Y.-S. Cho, J.-S. Choi, J.-Y. Lee, I.-S. Cho and H.-S. Yoo (2015).  Serological surveillance studies confirm the Rift Valley fever virus free status in South Korea Tropical Animal Health and Production, 47(7),  1427-1430",andrey.gogin,,3,,1,"Rift Valley fever virus",,,,"Korea, Republic of",,,"Survey (designed sampling)",,,,2011,,24,2013,"Goat (Capra aegagrus hircus)",,Farm,,"Objective (random) sampling",,,single,,399,,,,,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
