"Refid","Bibliography","Author","Title","Abstract","Year","User","Level","agent
Causative agent of vector borne diseases","sampCountry
Country where study was performed","sampCountry
Country where study was performed_comment","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed_comment"
3," Dondona AC, et al. 2016. ","A. C. Dondona, O. Aschenborn, C. Pinoni, L. Di Gialleonardo, A. Maseke, G. Bortone, A. Polci, M. Scacchia, U. Molini and F. Monaco","Rift Valley Fever Virus among Wild Ruminants, Etosha National Park, Namibia, 2011","After a May 2011 outbreak of Rift Valley fever among livestock northeast of Etosha National Park, Namibia, wild ruminants in the park were tested for the virus. Antibodies were detected in springbok, wildebeest, and black-faced impala, and viral RNA was detected in springbok. Seroprevalence was high, and immune response was long lasting.",2016,andrey.gogin,3,"Rift Valley fever virus",Namibia,,,
9," Gray GC, et al. 2015. ","G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt","Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya","In this cross-sectional seroepidemiological study we sought to examine the evidence for circulation of Rift Valley fever virus (RVFV) among herders in Madagascar and Kenya. From July 2010 to June 2012, we enrolled 459 herders and 98 controls (without ruminant exposures) and studied their sera (immunoglobulin G [IgG] and IgM through enzyme-linked immunosorbent assay [ELISA] and plaque reduction neutralization test [PRNT] assays) for evidence of previous RVFV infection. Overall, 59 (12.9%) of 459 herders and 7 (7.1%) of the 98 controls were positive by the IgG ELISA assay. Of the 59 ELISA-positive herders, 23 (38.9%) were confirmed by the PRNT assay (21 from eastern Kenya). Two of the 21 PRNT-positive study subjects also had elevated IgM antibodies against RVFV suggesting recent infection. Multivariate modeling in this study revealed that being seminomadic (odds ratio [OR] = 6.4, 95% confidence interval [CI] = 2.1-15.4) was most strongly associated with antibodies against RVFV. Although we cannot know when these infections occurred, it seems likely that some interepidemic RVFV infections are occurring among herders. As there are disincentives regarding reporting RVFV outbreaks in livestock or wildlife, it may be prudent to conduct periodic, limited, active seroepidemiological surveillance for RVFV infections in herders, especially in eastern Kenya.",2015,andrey.gogin,3,"Rift Valley fever virus",Madagascar,,"Human (homo sapiens)",
9," Gray GC, et al. 2015. ","G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt","Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya","In this cross-sectional seroepidemiological study we sought to examine the evidence for circulation of Rift Valley fever virus (RVFV) among herders in Madagascar and Kenya. From July 2010 to June 2012, we enrolled 459 herders and 98 controls (without ruminant exposures) and studied their sera (immunoglobulin G [IgG] and IgM through enzyme-linked immunosorbent assay [ELISA] and plaque reduction neutralization test [PRNT] assays) for evidence of previous RVFV infection. Overall, 59 (12.9%) of 459 herders and 7 (7.1%) of the 98 controls were positive by the IgG ELISA assay. Of the 59 ELISA-positive herders, 23 (38.9%) were confirmed by the PRNT assay (21 from eastern Kenya). Two of the 21 PRNT-positive study subjects also had elevated IgM antibodies against RVFV suggesting recent infection. Multivariate modeling in this study revealed that being seminomadic (odds ratio [OR] = 6.4, 95% confidence interval [CI] = 2.1-15.4) was most strongly associated with antibodies against RVFV. Although we cannot know when these infections occurred, it seems likely that some interepidemic RVFV infections are occurring among herders. As there are disincentives regarding reporting RVFV outbreaks in livestock or wildlife, it may be prudent to conduct periodic, limited, active seroepidemiological surveillance for RVFV infections in herders, especially in eastern Kenya.",2015,andrey.gogin,3,"Rift Valley fever virus",Kenya,,"Human (homo sapiens)",
11," Al-Hamdan NA, et al. 2015. ","N. A. Al-Hamdan, A. A. Panackal, T. H. Al Bassam, A. Alrabea, M. Al Hazmi, Y. Al Mazroa, M. Al Jefri, A. S. Khan and T. G. Ksiazek","The Risk of Nosocomial Transmission of Rift Valley Fever","In 2000, we investigated the Rift Valley fever (RVF) outbreak on the Arabian Peninsula-the first outside Africa-and the risk of nosocomial transmission. In a cross-sectional design, during the peak of the epidemic at its epicenter, we found four (0.6%) of 703 healthcare workers (HCWs) IgM seropositive but all with only community-associated exposures. Standard precautions are sufficient for HCWs exposed to known RVF patients, in contrast to other viral hemorrhagic fevers (VHF) such as Ebola virus disease (EVD) in which the route of transmission differs. Suspected VHF in which the etiology is uncertain should be initially managed with the most cautious infection control measures.",2015,andrey.gogin,3,"Rift Valley fever virus","Saudi Arabia",,"Human (homo sapiens)",
16," Boshra H, et al. 2015. ","H. Boshra, T. Thang, S. Babiuk and M. G. Hemida","Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia","Sheep and goat pox, peste des petits ruminants and Rift Valley fever are important diseases of small ruminant livestock. Sheep and goat pox, along with peste des petits ruminants, are endemic throughout most of Africa, Asia and the Middle East. Whereas Rift Valley fever is endemic in Africa, outbreaks in the Middle East have been reported over the past decade, including the Arabian Peninsula. Saudi Arabia is a major importer of livestock, and understanding the prevalence of these viral infections would be useful for disease control. In this study, sera from sheep and goats were collected from 3 regions in Saudi Arabia. They were evaluated for antibodies specific to sheep and goat pox, peste des petits ruminants and Rift Valley fever by virus neutralization assays. To the best of our knowledge, this is the first study to evaluate the seroprevalence of these viruses in sheep and goats.",2015,andrey.gogin,3,"Rift Valley fever virus","Saudi Arabia",,"Sheep (Ovis aries)",
19," Kim HJ, et al. 2015. ","H. J. Kim, J.-Y. Park, H.-Y. Jeoung, J.-Y. Yeh, Y.-S. Cho, J.-S. Choi, J.-Y. Lee, I.-S. Cho and H.-S. Yoo","Serological surveillance studies confirm the Rift Valley fever virus free status in South Korea","Rift Valley fever is a mosquito-borne zoonotic disease of domestic ruminants. This disease causes abortions in pregnant animals, and it has a high mortality rate in newborn animals. Recently, a Rift Valley fever virus (RVFV) outbreak in the Arabian Peninsula increased its potential spread to new regions worldwide. In non-endemic or disease-free countries, early detection and surveillance are important for preventing the introduction of RVFV. In this study, a serological surveillance was conducted to detect antibodies against RVFV. A total of 2382 serum samples from goats and cattle were randomly collected from nine areas in South Korea from 2011 to 2013. These samples were tested for antibodies against RVFV, using commercial ELISA kits. None of the goats and cattle were positive for antibodies against RVFV. This finding suggests that this disease is not present in South Korea, and furthermore presents the evidence of the RVFV-free status of this country.",2015,andrey.gogin,3,"Rift Valley fever virus","Korea, Republic of",,"Cattle (Bos taurus)",
19," Kim HJ, et al. 2015. ","H. J. Kim, J.-Y. Park, H.-Y. Jeoung, J.-Y. Yeh, Y.-S. Cho, J.-S. Choi, J.-Y. Lee, I.-S. Cho and H.-S. Yoo","Serological surveillance studies confirm the Rift Valley fever virus free status in South Korea","Rift Valley fever is a mosquito-borne zoonotic disease of domestic ruminants. This disease causes abortions in pregnant animals, and it has a high mortality rate in newborn animals. Recently, a Rift Valley fever virus (RVFV) outbreak in the Arabian Peninsula increased its potential spread to new regions worldwide. In non-endemic or disease-free countries, early detection and surveillance are important for preventing the introduction of RVFV. In this study, a serological surveillance was conducted to detect antibodies against RVFV. A total of 2382 serum samples from goats and cattle were randomly collected from nine areas in South Korea from 2011 to 2013. These samples were tested for antibodies against RVFV, using commercial ELISA kits. None of the goats and cattle were positive for antibodies against RVFV. This finding suggests that this disease is not present in South Korea, and furthermore presents the evidence of the RVFV-free status of this country.",2015,andrey.gogin,3,"Rift Valley fever virus","Korea, Republic of",,"Goat (Capra aegagrus hircus)",
21," Taha HA, et al. 2015. ","H. A. Taha, S. A. Shoman and N. M. Alhadlag","Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA","The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.",2015,andrey.gogin,3,"Rift Valley fever virus","Saudi Arabia",,"Goat (Capra aegagrus hircus)",
21," Taha HA, et al. 2015. ","H. A. Taha, S. A. Shoman and N. M. Alhadlag","Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA","The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.",2015,andrey.gogin,3,"Rift Valley fever virus","Saudi Arabia",,"Sheep (Ovis aries)",
21," Taha HA, et al. 2015. ","H. A. Taha, S. A. Shoman and N. M. Alhadlag","Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA","The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.",2015,andrey.gogin,3,"Bluetongue virus","Saudi Arabia",,"Goat (Capra aegagrus hircus)",
