"Refid","Bibliography","User","Ris Code","Level","Pathogen survival _k","studyID
Unique ID to link all observations from the same study or experiment","studyGroupID","agent
Causative agent of vector borne diseases","agentSubtypeType
What type of further detailed information is given regarding the agent.Select here, and type below. ","agentSubtypeType
What type of further detailed information is given regarding the agent.Select here, and type below. _comment","agentDetails
strain and any other further information","agentSubtype
(question from DACRAH1, no need to answer)","studyTargetSpecies
Species used in study","studyTargetSpecies
Species used in study_comment","sampUnitSize
Number of samples tested in the study
(enter -1 if not reported, -2 if not relevant)","sampledMatrix
Matrix sampled","sampledMatrix
Matrix sampled_comment","sampled Matrix Text
matrix as given in the paper/ any further details about the sample matrix","temperature
Degrees Celcius","Further details about temperature
Describe any variations. If the temperature was not constant, explain it here, and add the MAXIMUM temperature in the temperature box.","humidity
Humidity conditions (%)","Further details about the process/methods/survival conditions
Use this box to add any further details, in particular whether a specific survival condition was evaluated, for instance composting. ","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMatText
Target of laboratory test","maxDetect
Maximum number of days post inoculation to observe pathogen, antibody or nucleic acid","Truncated
Is the value of MaxDetect truncated ? In other words: was the study finished before samples were negative. That is, is the reported  “MaxDetect” equal to the last experiment day ?","Half-life in days","LCI 95% Half-life
Value in days for the lower limite of the confidence interval for half-life","UCI 95% Half-life
Value in days for the upper limit of the confidence interval for half-life","Study design STRENGTHS
Add notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Fernanda.dorea,,4,,2251,225102,"West Nile virus",,,,,"Not applicable",,40,mosquitos,,,-20,,,,"Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,,,,,,
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Verity.Horigan,,4,,2251,225103,"West Nile virus",,,,,"Not applicable",,20,mosquitos,,,4,,,,"Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,,,,,,
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Verity.Horigan,,4,,2251,225104,"West Nile virus",,,,,"Not applicable",,40,mosquitos,,,20,,,,"Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,,,,,,
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Verity.Horigan,,4,,2251,225101,"West Nile virus",,,,,"Not applicable",,19,mosquitos,,,-70,,,,"Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,,,,,,
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Verity.Horigan,,4,,2251,225101,"West Nile virus",,,,,"Not applicable",,,mosquitos,,,-70,,,,"culture method",Virus,2,,,,,,
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Verity.Horigan,,4,,2251,225102,"West Nile virus",,,,,"Not applicable",,,mosquitos,,,-20,,,,"culture method",Virus,2,,,,,,
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Verity.Horigan,,4,,2251,225103,"West Nile virus",,,,,"Not applicable",,,mosquitos,,,4,,,,"culture method",Virus,2,,,,,,
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",Verity.Horigan,,4,,2251,225104,"West Nile virus",,,,,"Not applicable",,,mosquitos,,,20,,,,"culture method",Virus,2,,,,,,
2495," C. Turner, S. M. Williams, P. J. Wilkinson (1999).  Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry Journal of Applied Microbiology, 87(#issue#),  447-453",Verity.Horigan,,4,,2495,249501,"African swine fever virus",,,"Malawi isolate (lilongwe 20/1)",,"Pig (Sus scrofa domesticus) ",,,Faeces,,,4,,,,"Haemagglutination inhibition test (HIT)",Virus,1,,,,,,
2495," C. Turner, S. M. Williams, P. J. Wilkinson (1999).  Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry Journal of Applied Microbiology, 87(#issue#),  447-453",Verity.Horigan,,4,,2495,249502,"African swine fever virus",,,"Malawi isolate (lilongwe 20/1)",,"Pig (Sus scrofa domesticus) ",,,Faeces,,,22,,,,"Haemagglutination inhibition test (HIT)",Virus,1,,,,,,
