"Refid","Bibliography","User","Ris Code","Level","test_k","sampCountry
Country where study was performed","sampY
Year the study was conducted
(-1 if not reported)","agent *
Causative agent of the disease","agentSubtypeType
What type of further detailed information is given regarding the agent. Select here, and type below. Give the highest subtype information available - for instance serotype if available, instead of strain. ","agentSubtypeType
What type of further detailed information is given regarding the agent. Select here, and type below. Give the highest subtype information available - for instance serotype if available, instead of strain. _comment","agentDetails
The further information given regarding the sutype type given above. ","studyID *
Unique ID to link all observations from the same study, experiment, or time point evaluations.","studyTargetSpecies *
Species used in study","studyTargetSpecies *
Species used in study_comment","ageMonths
Age of animals in months
(-1 if not reported)","sampUnit *
Type of unit sampled in the study and reported in sampUnitSize","sampUnit *
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize *
Number of units in the group (the number of units listed above (e.g. herds))","Animal status","Animal status_comment","testsubstance
select the vaccine used","testsubstance
select the vaccine used_comment","Type of vaccine","Type of vaccine_comment","route
Method of application or treatment regime or administration method of vaccine","route
Method of application or treatment regime or administration method of vaccine_comment","Day dose 1
The day, from the start of the experiment (day 0), when the first vaccine dose was given.","Vaccine dose 1
Dose of vaccine given for the first time (dose 1).","Day dose 2
The day, from the start of the experiment (day 0), when the second vaccine dose was given. Leave empty if not second dose was administered.","Vaccine Dose 2
Dose of vaccine given for the second time (dose 2). Leave empty if no second dose was administered.","Day dose 3
IF a third dose was given, enter the number of days since the start of the experiment (day 0), when it was administered. Leave empty otherwise","Vaccine Dose 3
IF a third dose was given (dose 3), enter the dose of vaccine given. Leave empty if no third dose was administered.","Challenge type","route
Method of application of the challenge","route
Method of application of the challenge_comment","Challenge substance","Challenge dose
Plese describe (free-text) the dosage information given","Challenge day
From the beginning of the experiment","deadUnits
Number of dead animals ","mortalityTime minimum
If provided in the paper, please report the time between application of the treatment and first recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits_min
The units for the first reported time to mortality.","mortalityTime maximum
If provided in the paper, please report the time between application of the treatment and last recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits_max
The units for the last reported time to mortality.","efficacy
1-RR. Report as given in the paper.
If not reported, leave it empty.","coverage
Coverage in %","Direct vaccine costs
Decsribe DIRECT vaccine costs, if given. ","Indirect vaccine costs
Decsribe any indirect vaccine costs reported in the paper, for instance loss of productivity, food conversion, etc.","Withdrawal period (in days)
Minimum number of days since last vaccine dose before animals can be sent to slaughter.
 ","vaccine storage
Does the vaccine need to be kept cold or in any other specific conditions? please report any details about logistical constraints given in the paper.","TIME POINT
Indicate time point in days from the start of the study to which the reported parameters below correspond","STAGE of experiment
At which step of the experiment do the information to be reported relate to.","LAB TEST *
Laboratory test used to detect agent, antibdies, or antigens associated with the disease","LAB TEST details
Description of laboratory method (where relevant include method of calculation of cut-offs)","Target of laboratory test","Target of laboratory test_comment","Tissue sampled for testing
(Note: as part-nature = the tissue has not been processed)","Tissue sampled for testing
(Note: as part-nature = the tissue has not been processed)_comment","Number of samples tested","Number of samples positive","testValue
The reported value for the test, for instance titers of SNT, IP for ELISA test, CQ/CT for a PCR, or a clinical score. GROUP AVERAGE, for the POSITIVE animals only.","UNITS
the units for the value reported to the left.","UNITS
the units for the value reported to the left._comment","Scale MIN
If a scale is needed in order to understand the test value (for instance the maximum score in a clinical score scale), then report the minimum here","Scale MAX
If a scale is needed in order to understand the test value (for instance the maximum score in a clinical score scale), then report the maximum here","QUALITY check If you have noted any significant weakness in the study design, or details worth of note which could not be captured in the current form, please enter comments here. All papers with comments in this section will be reviewed by a second reviewer. "
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",4,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","Marek’s Disease vaccine of serotype 3 (turkey Herpesvirus or HVT) expressing Avian Influenza key protective antigens",SUBCUTANEOUS,,0,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",35,2,3,days,,,,,,,,,42,"After challenge","Haemagglutination inhibition test (HIT)","using AI H5N1 antigen",Antibody,,"Animal blood",,-1,-1,"8.37 ± 0.26","Other: specify","log base 2 geometric mean titre",,,"Values estimated from graphical presentation of results. These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",1,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",28,10,3,days,,,,,,,,,31,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","cloacal swab",4,4,10^4.5,titer,,,,"These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",3,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",35,10,4,days,,,,,,,,,38,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","tracheal swab",7,7,10^4.5,titer,,,,"These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",3,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",35,10,4,days,,,,,,,,,38,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","cloacal swab",7,7,10^4.25,titer,,,,"These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",4,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","Marek’s Disease vaccine of serotype 3 (turkey Herpesvirus or HVT) expressing Avian Influenza key protective antigens",SUBCUTANEOUS,,0,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",35,2,3,days,,,,,,,,,38,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","cloacal swab",10,3,10^1.3,titer,,,,"Values estimated from graphical presentation of results. These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",1,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",28,10,3,days,,,,,,,,,31,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","tracheal swab",4,4,10^4.8,titer,,,,"These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",2,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","Marek’s Disease vaccine of serotype 3 (turkey Herpesvirus or HVT) expressing Avian Influenza key protective antigens",SUBCUTANEOUS,,0,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",28,5,5,days,,,,,,,,,31,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","tracheal swab",8,7,10^3.9,titer,,,,"Values estimated from graphical presentation of results. These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",2,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","Marek’s Disease vaccine of serotype 3 (turkey Herpesvirus or HVT) expressing Avian Influenza key protective antigens",SUBCUTANEOUS,,0,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",28,5,5,days,,,,,,,,,33,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","tracheal swab",5,2,10^1.5,titer,,,,"Values estimated from graphical presentation of results. These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",2,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","Marek’s Disease vaccine of serotype 3 (turkey Herpesvirus or HVT) expressing Avian Influenza key protective antigens",SUBCUTANEOUS,,0,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",28,5,5,days,,,,,,,,,31,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","cloacal swab",8,7,10^3.5,titer,,,,"Values estimated from graphical presentation of results. These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
50265,"El-Shall, N.A., Awad, A.M., Sedeik, M.E. (2021).  Examination of the protective efficacy of two avian influenza H5 vaccines against clade 2.3.4.4b H5N8 highly pathogenic avian influenza virus in commercial broilers Research in Veterinary Science, 140(#issue#),  125",e.royall,,4,,Egypt,2021,"HPAI - Highly Pathogenic Avian Influenza","Other: specify",clade,"A/chicken/Egypt/ Alex-2/2017 H5N8 clade 2.3.4.4b",2,"Chickens (Gallus)",,0.3,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","Marek’s Disease vaccine of serotype 3 (turkey Herpesvirus or HVT) expressing Avian Influenza key protective antigens",SUBCUTANEOUS,,0,,,,,,"Challenged with the pathogen","OTHER: specify","eye drop and intranasal routes (50 μl/each route)",A/chicken/Egypt/Alex-2/2017,"10^6.3 EID50/100 μl",28,5,5,days,,,,,,,,,33,"After challenge","Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,"Other (specify)","cloacal swab",5,2,10^1.5,titer,,,,"Values estimated from graphical presentation of results. These commercial chicks had maternal derived antibodies (MDA) against H5 AI mentioned in results section. All chicken groups additionally received inactivated ND vaccine (Intervet International B. V., Boxmeer, The Netherlands) intramuscularly and MA5 + Clone30 (Intervet International B.V., Boxmeer, The Netherlands) and Bursine plus (Zoetis Inc., Kalamazoo, USA) vaccines via eye drops."
