"Refid","Bibliography","User","Ris Code","Level","DE_DACRAH_OB4_Covetlab_k","studyID
Unique ID to link all observations from the same study or experiment","studyIDNumerical","sampCountry
Country where study was performed","sampY
Year the study was conducted
(-1 if not reported)","agent
Causative agent of vector borne diseases","agentSubtype
DACRAH1 - no need to answer","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below.","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below._comment","agentDetails
The further information given regarding the sutype type given above. ","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""_comment","studyTargetVector
Please select the specific vector.","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 _comment","sampUnitSize
Number of units in the group (the number of units listed above (e.g. herds))
(-1 if not reported, -2 if not relevant)","route
Method of application or treatment regime or administration method of vaccine","route
Method of application or treatment regime or administration method of vaccine_comment","intervention
Intervention or treatment","intervention
Intervention or treatment_comment","testsubstance
Insecticide or pharmaceutical substance","testsubstance2
Insecticide or pharmaceutical substance","test substance CATEGORICAL","test substance2 CATEGORICAL","formulation %
The concentration given for the preparation, if given (p.e. 5%)","formulation2 %
The concentration given for the preparation, if given (p.e. 5%)","dose
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","dose2
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","doseUnits
Units of measurement for the reported parameter value","doseUnits
Units of measurement for the reported parameter value_comment","doseUnits2
Units of measurement for the reported parameter value","doseUnits2
Units of measurement for the reported parameter value_comment","dosageFreq
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageFreq2
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageInterval
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","dosageInterval2
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","Exposure time","Exposure time units","SubstanceDoseComments
Add any other comments about dosage and the test substance.
Please try as much as possible to enter some quantitiative data
in the fields above (for instance the most frequent dosage regimen,
or the start regimen), and then add any additional details here.
Please also try to leave the testSubstance name as clean as possible","sampledMatrix
Tissue sampled for testing","sampledMatrix
Tissue sampled for testing_comment","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","timePoint
Indicate time point in days from the start of the study to which the following parameters (dead, clinical and tested) correspond","dead (or mortality)
Number of dead vectors (if reported as percentage, please provide percentage -e.g. 20 for 20% - and change the units in the following question).","dead (or mortality) Units
Units of measurement of the reported dead/mortality","mortalityLCI
Lower confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityUCI
Upper confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityTime
If provided in the paper, please report the time between application of the treatment and recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits
The units for the reported time to mortality.","efficacy
1-RR","LCI_EF
Lower Confidence interval limit - Efficacy","UCI_EF
Upper Confidence interval limit - Efficacy
 ","Outcome type","Number given
numerical part of the outcome","Units
 ","nTested
Number of samples tested","nNegative
Number of samples negative","nPositive
Number of samples positive","OUTCOMESOtherComments
Please give any details that could not be reported in the format above.
Please first make sure to report as many results as possible in a quantitative format above, and leave any additional comments here.","Study design STRENGTHSAdd notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
9033," P. C. Page, K. Labuschagne, G. J. Venter, J. P. Schoeman, A. J. Guthrie (2015).  Efficacy of alphacypermethrin-treated high density polyethylene mesh applied to jet stalls housing horses against Culicoides biting midges in South Africa Veterinary Parasitology, 210(#issue#),  84-90",tobias.lilja,,4,,,1,"South Africa",2014,"Not applicable (vector study)",,,,,"Horse (Equus ferus caballus)",,midges,"batch / replicate unit",,2,"Vector exposed to treated nets",,"Insecticide treatment",,Alpha-cypermethrin,,alpha-cypermethrin,,,,20,,mg/m2,,,,1,,,,,,,,,"Not applicable",,,,,1,,,,,,,0.80,,,,,,,,,"Only reported result is the total number of midges, in the stall treated with the net, versus non-treated net and no net at all. This is not a real number of infestations prevented, as refers to the total number of midges, not number of animals infested. The results therefore could not be detailed in the form, but were entered as efficacy (percentage reduction in midge numbers, COMPARED TO THE UNTREATED NET).  [26, 133 and 323 midges in the treated, untreated net, and no-net groups]",,
9039," Marimuthu Govindarajan, Mohan Rajeswary (2015).  Ovicidal and adulticidal potential of leaf and seed extract of Albizia lebbeck (L.) Benth. (Family: Fabaceae) against Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi (Diptera: Culicidae) Parasitology Research, 114(#issue#),  1949-1961",tobias.lilja,,4,,,1,,2014,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,6,"Vector directly exposed",,"Insecticide treatment",,"Albizia lebbeck leaf extract in ethanol",,"OTHERS - plant (non-oil)",,,,200,,"ppm (parts per million)",,,,1,,,,,,,,,"Not applicable",,,,,,99.1,percentage,,,48,hours,,,,,,,,,,,,
9039," Marimuthu Govindarajan, Mohan Rajeswary (2015).  Ovicidal and adulticidal potential of leaf and seed extract of Albizia lebbeck (L.) Benth. (Family: Fabaceae) against Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi (Diptera: Culicidae) Parasitology Research, 114(#issue#),  1949-1961",tobias.lilja,,4,,,1,,2014,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,6,"Vector exposed to treated nets",,"Insecticide treatment",,"Albizia lebbeck leaf extract in ethanol",,"OTHERS - plant (non-oil)",,,,160,,"ppm (parts per million)",,,,1,,,,,,,,,"Not applicable",,,,,,84.7,percentage,,,48,hours,,,,,,,,,,,,
9039," Marimuthu Govindarajan, Mohan Rajeswary (2015).  Ovicidal and adulticidal potential of leaf and seed extract of Albizia lebbeck (L.) Benth. (Family: Fabaceae) against Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi (Diptera: Culicidae) Parasitology Research, 114(#issue#),  1949-1961",tobias.lilja,,4,,,1,,2014,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,6,"Vector directly exposed",,"Insecticide treatment",,"Albizia lebbeck leaf extract in ethanol",,"OTHERS - plant (non-oil)",,,,120,,"ppm (parts per million)",,,,1,,,,,,,,,"Not applicable",,,,,,63.8,percentage,,,48,hours,,,,,,,,,,,,
9039," Marimuthu Govindarajan, Mohan Rajeswary (2015).  Ovicidal and adulticidal potential of leaf and seed extract of Albizia lebbeck (L.) Benth. (Family: Fabaceae) against Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi (Diptera: Culicidae) Parasitology Research, 114(#issue#),  1949-1961",tobias.lilja,,4,,,1,,2014,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,6,"Vector directly exposed",,"Insecticide treatment",,"Albizia lebbeck leaf extract in ethanol",,"OTHERS - plant (non-oil)",,,,40,,"ppm (parts per million)",,,,1,,,,,,,,,"Not applicable",,,,,,25.8,percentage,,,48,hours,,,,,,,,,,,,
9039," Marimuthu Govindarajan, Mohan Rajeswary (2015).  Ovicidal and adulticidal potential of leaf and seed extract of Albizia lebbeck (L.) Benth. (Family: Fabaceae) against Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi (Diptera: Culicidae) Parasitology Research, 114(#issue#),  1949-1961",tobias.lilja,,4,,,1,,2014,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,6,"Vector directly exposed",,"Insecticide treatment",,"Albizia lebbeck leaf extract in ethanol",,"OTHERS - plant (non-oil)",,,,80,,"ppm (parts per million)",,,,1,,,,,,,,,"Not applicable",,,,,,46.4,percentage,,,48,hours,,,,,,,,,,,,
9039," Marimuthu Govindarajan, Mohan Rajeswary (2015).  Ovicidal and adulticidal potential of leaf and seed extract of Albizia lebbeck (L.) Benth. (Family: Fabaceae) against Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi (Diptera: Culicidae) Parasitology Research, 114(#issue#),  1949-1961",tobias.lilja,,4,,,2,,2014,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,6,"Vector directly exposed",,"Insecticide treatment",,ethanol,,CONTROL,,,,40,,other,,,,1,,,,,,,,,"Not applicable",,,,,,0,percentage,,,48,hours,,,,,,,,,,,,
9090," A. L. Onuike, O. O. Ikpeze, U. C. Ngenegbo (2015).  Effects of deltamethrin on mortality, feeding behaviour and oviposition in the UK Culicoides species and at UK environmental temperature International Journal of Veterinary Science, 4(#issue#),  175-182",tobias.lilja,,4,,,1,,,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,4,"Vector directly exposed",,"Insecticide treatment",,Deltamethrin,,deltamethrin,,,,0.05,,percentage,,,,1,,,,1,hours,,,,"Not applicable",,,,,1,95,percentage,,,24,hours,,,,,,,,,,,,
9090," A. L. Onuike, O. O. Ikpeze, U. C. Ngenegbo (2015).  Effects of deltamethrin on mortality, feeding behaviour and oviposition in the UK Culicoides species and at UK environmental temperature International Journal of Veterinary Science, 4(#issue#),  175-182",tobias.lilja,,4,,,3,,,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,4,"Vector directly exposed",,"Insecticide treatment",,Deltamethrin,,deltamethrin,,,,0.0025,,percentage,,,,1,,,,1,hours,,,,"Not applicable",,,,,1,50,percentage,,,24,hours,,,,,,,,,,,,
9090," A. L. Onuike, O. O. Ikpeze, U. C. Ngenegbo (2015).  Effects of deltamethrin on mortality, feeding behaviour and oviposition in the UK Culicoides species and at UK environmental temperature International Journal of Veterinary Science, 4(#issue#),  175-182",tobias.lilja,,4,,,2,,,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,midges,"animal / individual",,4,"Vector directly exposed",,"Insecticide treatment",,"No treatment",,CONTROL,,,,0,,percentage,,,,1,,,,1,hours,,,,"Not applicable",,,,,1,12,percentage,,,24,hours,,,,,,,,,,,,
