"Refid","Bibliography","Author","Title","Abstract","Year","User","Level","agent
Causative agent of vector borne diseases","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC"""
9033," Page PC, et al. 2015."," P. C. Page, K. Labuschagne, G. J. Venter, J. P. Schoeman, A. J. Guthrie","Efficacy of alphacypermethrin-treated high density polyethylene mesh applied to jet stalls housing horses against Culicoides biting midges in South Africa","The efficacy of alphacypermethrin-treated high density polyethylene (HDPE) mesh applied to jet stalls against Culicoides biting midges (Diptera: Ceratopogonidae) was determined by mechanical aspiration of midges from horses and using Onderstepoort 220V downdraught black light traps in four blocks of a 3 x 2 randomised design under South African field conditions. The alphacypermethrin-treated HDPE mesh applied to the stall significantly (P = 0.008) reduced the number of Culicoides midges, predominantly Culicoides (Avaritia) imicola Kieffer, mechanically aspirated from horses housed in the stall. The mesh reduced the Culicoides midge attack rate in the treated stall compared to the untreated stall and a sentinel horse by 6 times and 14 times, respectively. The number of Culicoides midges and C imicola collected in light traps from the untreated and alphacypermethrin HDPE mesh-treated stalls did not differ significantly (P = 0.82). Alphacypermethrin-treated HDPE mesh could be used to reduce exposure of horses in jet stalls to Culicoides midges, specifically C. imicola, and the risk of midge-borne Orbivirus transmission. (C) 2015 Elsevier B.V. All rights reserved.",2015,tobias.lilja,4,"Not applicable (vector study)","Horse (Equus ferus caballus)"
9039," Marimuthu Govindarajan, et al. 2015."," Marimuthu Govindarajan, Mohan Rajeswary","Ovicidal and adulticidal potential of leaf and seed extract of Albizia lebbeck (L.) Benth. (Family: Fabaceae) against Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi (Diptera: Culicidae)","Several diseases are associated to the mosquito-human interaction. Mosquitoes are the carriers of severe and well-known illnesses such as malaria, arboviral encephalitis, dengue fever, chikungunya fever, West Nile virus, and yellow fever. These diseases produce significant morbidity and mortality in humans and livestock around the world. In the present study, hexane, benzene, chloroform, ethyl acetate, and methanol extracts of leaf and seed of Albizia lebbeck were assayed for their toxicity against three important vector mosquitoes, viz., Culex quinquefasciatus, Aedes aegypti, and Anopheles stephensi. The mean percent hatchability of the eggs was observed after 48 h post-treatment. The percent hatchability was inversely proportional to the concentration of extract and directly proportional to the eggs. All the five solvent extracts showed moderate ovicidal activity; however, the methanol extract showed the highest ovicidal activity. One hundred percent mortality was observed at 250, 200, and 150 ppm for leaf methanol extract and 375, 300, and 225 ppm for seed methanol extract of A. lebbeck against C. quinquefasciatus, Ae. aegypti, and An. stephensi, respectively. The adulticidal activity of plant leaf and seed extracts showed moderate toxic effect on the adult mosquitoes after 24 h of exposure period. However, the highest adulticidal activity was observed in the leaf methanol extract of A. lebbeck against An. stephensi where the LC50 and LC90 values were 65.12 and 117.70 ppm, respectively. Compared to leaf extracts, seeds have low potency against three mosquito species. No mortality was recorded in the control. Our data suggest that the crude hexane, benzene, chloroform, ethyl acetate, and methanol solvent extracts of A. lebbeck have the potential to be used as an eco-friendly approach for the control of the An. stephensi, Ae. aegypti, and C. quinquefasciatus. These results suggest that the leaf and seed extracts have the potential to be used as an ideal eco-friendly approach for the control of mosquitoes.",2015,tobias.lilja,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
9090," Onuike AL, et al. 2015."," A. L. Onuike, O. O. Ikpeze, U. C. Ngenegbo","Effects of deltamethrin on mortality, feeding behaviour and oviposition in the UK Culicoides species and at UK environmental temperature","Biting midges ( Culicoides nubeculosis), is a vector of Bluetongue virus which causes Bluetongue disease in man and domesticated ruminants. World Health Organization (WHO) laboratory assays were used to evaluate effects of temperature on susceptibility of Culicoides nubeculosis to deltamethrin. In 'treatment temperature experiment', the effect of temperature was observed for 24 hours following an hour exposure of C. nubeculosis to varying concentrations of deltamethrin while in '24 hours post treatment temperature experiment', effect of temperature was observed for 24 hours of 1 hour exposure of C. nubeculosis to test insecticide. Subsequent experiments with C. nubeculosis that survived after 24 hours post-exposure to sub-lethal doses of deltamethrin as well as control group were used to evaluate blood-feeding and egg production rates. Results indicated significant effects on mortality of biting midges in post treatment temperature experiment but insignificant in treatment temperature experiments. The difference in blood feeding rates between deltamethrin-exposed biting midges and the control group was statistically insignificant (P>.05) but eggs laid by control group were significantly more in number than those lay by exposed (P<.05). These results will be useful in vector control of bluetongue viral infections in humans and ruminants.",2015,tobias.lilja,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
9123," Baker T, et al. 2015."," T. Baker, S. Carpenter, S. Gubbins, R. Newton, G. lo Iacono, J. Wood, L. E. Harrup","Can insecticide-treated netting provide protection for equids from Culicoides biting midges in the United Kingdom?","Background: Biting midges of the genus Culicoides Latreille, 1809 (Diptera: Ceratopogonidae) cause a significant biting nuisance to equines and are responsible for the biological transmission of African horse sickness virus (AHSV). While currently restricted in distribution to sub-Saharan Africa, AHSV has a history of emergence into southern Europe and causes one of the most lethal diseases of horses and other species of Equidae. In the event of an outbreak of AHSV, the use of insecticide treated nets (ITNs) to screen equine accommodation is recommended by competent authorities including the Office International des Epizooties (OIE) in order to reduce vector-host contact. Methods: Seven commercially available pyrethroid insecticides and three repellent compounds, all of which are licensed for amateur use, were assessed in modified World Health Organization (WHO) cone bioassay trials in the laboratory using a colony line of Culicoides nubeculosus (Meigen), 1830. Two field trials were subsequently conducted to test the efficiency of treated net screens in preventing entry of Culicoides. Results: A formulation of cypermethrin (0.15% w/w) and pyrethrins (0.2% w/w) (Tri-Tec 14, LS Sales (Farnham) Ltd, Bloxham, UK) applied to black polyvinyl-coated polyester insect screen (1.6 mm aperture; 1.6 mm thickness) inflicted 100% mortality on batches of C. nubeculosus following a three minute exposure in the WHO cone bioassays at 1, 7 and 14 days post-treatment. Tri-Tec 14 outperformed all other treatments tested and was subsequently selected for use in field trials. The first trial demonstrated that treated screens placed around an ultraviolet light-suction trap entirely prevented Culicoides being collected, despite their collection in identical traps with untreated screening or no screening. The second field trial examined entry of Culicoides into stables containing horses and found that while the insecticide treated screens reduced entry substantially, there was still a small risk of exposure to biting. Conclusions: Screened stables can be utilised as part of an integrated control program in the event of an AHSV outbreak in order to reduce vector-host contact and may also be applicable to protection of horses from Culicoides during transport.",2015,tobias.lilja,4,"Not applicable (vector study)","Horse (Equus ferus caballus)"
9165," Alves FdosS, et al. 2015."," F. dos S. Alves, R. D. de Oliveira, G. R. de Aguiar, A. C. J. de Moura, F. de O. P. Leme, R. B. de Araujo, A. P. da C. Val","Antifeeding and short-term insecticidal effects against Lutzomya longipalpis in dogs treated with permethrin or deltamethrin","Canine visceral leishmaniasis is a zoonotic disease caused by parasites of the genus Leishmania and transmitted by phlebotomine sandflies of the genus Lutzomyia in the New World and Phlebotomus in the Old World. The individual protection of dogs by treatment with permethrin 65% or by a 4% deltamethrin-impregnated collar is evaluated in this study based on the antifeeding of the products and the short term insecticidal antifeeding effects in the following sites on the dog's body: the inner side of the ear and the inguinal region. Both products produced a decrease in blood feeding and an increase in the antifeeding of the sandflies and the effects were not homogeneous, as there were significant differences between the effects on the pinna and on the inguinal region. The treatments of dogs with synthetic pyrethroids are important strategies to reduce the infection rates in endemic regions however the antifeeding and antifeeding effects were low and may not be sufficient to ensure a dog's individual protection.",2015,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
9354," Nicholas AH, et al. 2014."," A. H. Nicholas, B. McCorkell","Evaluation of Metarhizium anisopliae for the control of Culicoides brevitarsis Kieffer (Diptera: Ceratopogonidae), the principal vector of bluetongue virus in Australia","Four isolates of the entomopathogenic fungus Metarhizium anisopliae were tested for their potential to control the biting midge Culicoides brevitarsis, the principal vector of bluetongue virus in Australia. Adult C. brevitarsis died three to eight days after walking on paper substrate treated with 0.7 g/m(2) conidia of any of the isolates, indicating that M. anisopliae has potential as a surface treatment or topical application control strategy. Incorporation of the fungus into freshly excreted cattle dung at rates of between 0.25 and 1 g conidia/kg reduced the emergence of adult midges by up to 98.5% compared to untreated dung indicating that M. anisopliae has the potential to control C. brevitarsis larvae in cattle dung. Three of the isolates produced similar mortality rates on adult and immature C. brevitarsis while the fourth isolate produced lower, but still significant, mortality rates on adult and immature stages.",2014,tobias.lilja,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
9382," Marimuthu Govindarajan, et al. 2014."," Marimuthu Govindarajan, Rajamohan Sivakumar","Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae)","Several diseases are associated to the mosquito-human interaction. Mosquitoes are the carriers of severe and well-known illnesses such as malaria, arboviral encephalitis, dengue fever, chikungunya fever, West Nile virus and yellow fever. These diseases produce significant morbidity and mortality in humans and livestock around the world. The present investigation was undertaken to study the ovicidal, larvicidal and adulticidal activities of crude hexane, ethyl acetate, benzene, chloroform and methanol extracts of root of Asparagus racemosus were assayed for their toxicity against three important vector mosquitoes, viz., Culex quinquefasciatus, Aedes aegypti and Anopheles stephensi (Diptera: Culicidae). The mean percent hatchability of the eggs was observed after 48 h post-treatment. The percent hatchability was inversely proportional to the concentration of extract and directly proportional to the eggs. All the five solvent extracts showed moderate ovicidal activity; however, the methanol extract showed the highest ovicidal activity. The methanol extract of Asparagus racemosus against Culex quinquefasciatus, Aedes aegypti and Anopheles stephensi exerted 100 % mortality (zero hatchability) at 375, 300 and 225 ppm, respectively. Control eggs showed 99-100 % hatchability. The larval mortality was observed after 24 h of exposure. All extracts showed moderate larvicidal effects; however, the highest larval mortality was found in methanol extract of root of Asparagus racemosus against the larvae of Culex quinquefasciatus, Aedes aegypti and Anopheles stephensi with the LC50 and LC90 values were 115.13, 97.71 and 90.97 ppm and 210.96, 179.92, and 168.82 ppm, respectively. The adult mortality was observed after 24 h recovery period. The plant crude extracts showed dose-dependent mortality. At higher concentrations, the adult showed restless movement for some times with abnormal wagging and then died. Among the extracts tested, the highest adulticidal activity was observed in methanol extract against Anopheles stephensi followed by Aedes aegypti and Culex quinquefasciatus with the LD50 and LD90 values were 120.44, 135.60, and 157.71 ppm and 214.65, 248.35, and 290.95 ppm, respectively. No mortality was recorded in the control. The finding of the present investigation revealed that the root extract of Asparagus racemosus possess remarkable ovicidal, larvicidal and adulticidal activity against medically important vector mosquitoes and this is the low cost and ideal eco-friendly approach for the control of mosquitoes. This is the first report on the mosquito ovicidal, larvicidal and adulticidal activities of the reported Asparagus racemosus root.",2014,tobias.lilja,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
9382," Marimuthu Govindarajan, et al. 2014."," Marimuthu Govindarajan, Rajamohan Sivakumar","Ovicidal, larvicidal and adulticidal properties of Asparagus racemosus (Willd.) (Family: Asparagaceae) root extracts against filariasis (Culex quinquefasciatus), dengue (Aedes aegypti) and malaria (Anopheles stephensi) vector mosquitoes (Diptera: Culicidae)","Several diseases are associated to the mosquito-human interaction. Mosquitoes are the carriers of severe and well-known illnesses such as malaria, arboviral encephalitis, dengue fever, chikungunya fever, West Nile virus and yellow fever. These diseases produce significant morbidity and mortality in humans and livestock around the world. The present investigation was undertaken to study the ovicidal, larvicidal and adulticidal activities of crude hexane, ethyl acetate, benzene, chloroform and methanol extracts of root of Asparagus racemosus were assayed for their toxicity against three important vector mosquitoes, viz., Culex quinquefasciatus, Aedes aegypti and Anopheles stephensi (Diptera: Culicidae). The mean percent hatchability of the eggs was observed after 48 h post-treatment. The percent hatchability was inversely proportional to the concentration of extract and directly proportional to the eggs. All the five solvent extracts showed moderate ovicidal activity; however, the methanol extract showed the highest ovicidal activity. The methanol extract of Asparagus racemosus against Culex quinquefasciatus, Aedes aegypti and Anopheles stephensi exerted 100 % mortality (zero hatchability) at 375, 300 and 225 ppm, respectively. Control eggs showed 99-100 % hatchability. The larval mortality was observed after 24 h of exposure. All extracts showed moderate larvicidal effects; however, the highest larval mortality was found in methanol extract of root of Asparagus racemosus against the larvae of Culex quinquefasciatus, Aedes aegypti and Anopheles stephensi with the LC50 and LC90 values were 115.13, 97.71 and 90.97 ppm and 210.96, 179.92, and 168.82 ppm, respectively. The adult mortality was observed after 24 h recovery period. The plant crude extracts showed dose-dependent mortality. At higher concentrations, the adult showed restless movement for some times with abnormal wagging and then died. Among the extracts tested, the highest adulticidal activity was observed in methanol extract against Anopheles stephensi followed by Aedes aegypti and Culex quinquefasciatus with the LD50 and LD90 values were 120.44, 135.60, and 157.71 ppm and 214.65, 248.35, and 290.95 ppm, respectively. No mortality was recorded in the control. The finding of the present investigation revealed that the root extract of Asparagus racemosus possess remarkable ovicidal, larvicidal and adulticidal activity against medically important vector mosquitoes and this is the low cost and ideal eco-friendly approach for the control of mosquitoes. This is the first report on the mosquito ovicidal, larvicidal and adulticidal activities of the reported Asparagus racemosus root.",2014,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
9408," Marimuthu Govindarajan, et al. 2014."," Marimuthu Govindarajan, Rajamohan Sivakumar","Larvicidal, ovicidal, and adulticidal efficacy of Erythrina indica (Lam.) (Family: Fabaceae) against Anopheles stephensi, Aedes aegypti, and Culex quinquefasciatus (Diptera: Culicidae)","Mosquitoes are the major vector for the transmission of malaria, dengue fever, yellow fever, filariasis, schistosomiasis, and Japanese encephalitis. Mosquito control is facing a threat because of the emergence of resistance to synthetic insecticides. Insecticides of botanical origin may serve as suitable alternative biocontrol techniques in the future. In view of the recently increased interest in developing plant origin insecticides as an alternative to chemical insecticide, this study was undertaken to assess the larvicidal, ovicidal, and adulticidal potential of the crude hexane, benzene, chloroform, ethyl acetate, and methanol solvent extracts from the medicinal plant Erythrina indica against the medically important mosquito vectors, Anopheles stephensi, Aedes aegypti, and Culex quinquefasciatus (Diptera: Culicidae). The larval mortality was observed after 24 h of exposure. All extracts showed moderate larvicidal effects; however, the highest larval mortality was found in methanol extract of leaf of E. indica against the larvae of A. stephensi, A. aegypti, and C. quinquefasciatus with the LC50 and LC90 values of 69.43, 75.13, and 91.41 ppm and 125.49, 134.31, and 167.14 ppm, respectively. The mean percent hatchability of the eggs was observed after 48 h post treatment. The percent hatchability was inversely proportional to the concentration of extract and directly proportional to the eggs. All the five solvent extracts showed moderate ovicidal activity; however, the methanol extract showed the highest ovicidal activity. The methanol extract of E. indica against A. stephensi, A. aegypti, and C. quinquefasciatus exerted 100% mortality (zero hatchability) at 150, 200, and 250 ppm, respectively. Control eggs showed above 99.3-100% hatchability. The adult mortality was observed after 24 h recovery period. The plant crude extracts showed dose-dependent mortality. At higher concentrations, the adult showed restless movement for some times with abnormal wagging and then died. Among the extracts tested, the highest adulticidal activity was observed in methanol extract against A. stephensi followed by A. aegypti and C. quinquefasciatus with the LD50 and LD90 values of 88.76, 94.09, and 119.64 ppm and 160.83, 169.01, and 219.77 ppm, respectively. No mortality was recorded in the control. Our data suggest that the crude hexane, benzene, chloroform, ethyl acetate, and methanol solvent extracts of E. indica have the potential to be used as an eco-friendly approach for the control of the A. stephensi, A. aegypti, and C. quinquefasciatus.",2014,tobias.lilja,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
9633," Kaliyan Veerakumar, et al. 2013."," Kaliyan Veerakumar, Marimuthu Govindarajan, Mohan Rajeswary","Green synthesis of silver nanoparticles using Sida acuta (Malvaceae) leaf extract against Culex quinquefasciatus, Anopheles stephensi, and Aedes aegypti (Diptera: Culicidae)","Mosquitoes act as a vector for most of the life-threatening diseases like malaria, yellow fever, dengue fever, chikungunya fever, filariasis, encephalitis, West Nile Virus infection, etc. Under the Integrated Mosquito Management, emphasis was given on the application of alternative strategies in mosquito control. The continuous application of synthetic insecticides causes development of resistance in vector species, biological magnification of toxic substances through the food chain, and adverse effects on environmental quality and nontarget organisms including human health. Application of active toxic agents from plant extracts as an alternative mosquito control strategy was available from ancient times. These are nontoxic, easily available at affordable prices, biodegradable, and show broad-spectrum target-specific activities against different species of vector mosquitoes. In the present study, the larvicidal activity of silver nanoparticles (AgNPs) synthesized using Sida acuta plant leaf extract against late third instar larvae of Culex quinquefasciatus, Anopheles stephensi, and Aedes aegypti was determined. Range of concentrations of synthesized AgNPs (10, 20, 30, 40, and 50 mu g/mL) and aqueous leaf extract (50, 100, 150, 200, and 250 mu g/mL) were tested against the larvae of C. quinquefasciatus, A. stephensi and A. aegypti. The synthesized AgNPs from S. acuta leaf were highly toxic than crude leaf aqueous extract in three important vector mosquito species. The results were recorded from UV-Vis spectrum, Fourier transform infrared spectroscopy, scanning electron microscopy, transmission electron microscopy, and energy-dispersive X-ray spectroscopy analysis. Larvae were exposed to varying concentrations of aqueous crude extract and synthesized AgNPs for 24 h. Considerable mortality was evident after the treatment of S. acuta for all three important vector mosquitoes. The LC50 and LC90 values of S. acuta aqueous leaf extract appeared to be most effective against A. stephensi (LC50, 109.94 mu g/mL and LC90, 202.42 mu g/mL) followed by A. aegypti LC50 (119.32 mu g/mL and LC90, 213.84 mu g/mL) and C. quinquefasciatus (LC50, 130.30 mu g/mL and LC90, 228.20 mu g/mL). Synthesized AgNPs against the vector mosquitoes of A. stephensi, A. aegypti, and C. quinquefasciatus had the following LC50 and LC90 values: A. stephensi had LC50 and LC90 values of 21.92, and 41.07 mu g/mL; A. aegypti had LC50 and LC90 values of 23.96, and 44.05 mu g/mL; C. quinquefasciatus had LC50 and LC90 values of 26.13 and 47.52 mu g/mL. These results suggest that the use of S. acuta synthesized silver nanoparticles can be a rapid, environmentally safer biopesticide which can form a novel approach to develop effective biocides for controlling the target vector mosquitoes. This is the first report on the mosquito larvicidal activity of the plant aqueous extract and synthesized nanoparticles.",2013,thomas.rosendal,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
