"refID","FullReference","groupID","context","year","agent","agentSubtype","agentSubtype_C","agentDetails","agentSuptypeDC1","targetSpecies","ageDC1","ageMonths","infMode","sampStrategy","sampStrategy_C","sampUnit","sampUnit_C","sampUnitSize","route","route_C","dose","intervention","targetLab","labTest","labTest_others","labTest_C","reagents","testLimit","timePoint","nTested","nTruePositive","nTrueNegative","nPositive","nNegative","sensitivity","specificity","UCI_Sen","LCI_Sen","UCI_Spe","LCI_Spe","crossReactivity","rowID","uniqueID","matrix","studyType","ShortBibliography","Author","Title","Abstract","publicationYear"
6815," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede (2016).  Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies Journal of Virological Methods, 228(#issue#),  140-150",2,"Diagnostic test validation",2015,"Bluetongue virus","","","","not investigated/not given/not relevant","CATTLE - Cattle (Bos taurus)","Adult",NA,"not investigated/not given/not relevant","Other","","animal","",138,"not investigated/not given/not relevant","","not investigated/not given/not relevant","Index test","Antibody","IgG ELISA","","Based on the VP7 protein","Laboratory test is BTV Lateral Flow Test device (Ingezim BTV CROM Anticuerpo)","Negative if only the blue control line is visible, positive if blue control and red test line are visible",NA,138,NA,NA,105,33,"","",NA,NA,NA,NA,"Possible cross reactivity with EHDV infected bovines",1,"68152","Serum","comparison"," Jean-Baptiste Hanon, et al. 2016."," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede","Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies","Bluetongue (BT) is a viral vector-borne disease affecting domestic and wild ruminants worldwide. In this study, a commercial rapid immuno-chromatographic method or Lateral Flow Test (LFT) device, for the detection of BT virus-specific antibodies in animal serum, was evaluated in an international inter laboratory proficiency test. The evaluation was done with sera samples of variable background (ruminant species, serotype, field samples, experimental infections, vaccinated animals). The diagnostic sensitivity was 100% (95% C.I. [90.5-100]) and the diagnostic specificity was 95.2% (95% C.I. [76.2-99.9]). The repeatability (accordance) and reproducibility (concordance) were 100% for seropositive samples but were lower for two of the seronegative samples (45% and 89% respectively). The analytical sensitivity, evaluated by testing positive sera at increasing dilutions was better for the BT LFT compared to some commercial ELISAs. Seroconversion of an infected sheep was detected at 4 days post infection. Analytical specificity was impaired by cross-reactions observed with some of the samples seropositive for Epizootic Haemorrhagic Disease Virus (EHDV). The agreement (Cohen's kappa) between the LFT and a commercial BT competitive ELISA was 0.79 (95% CI [0.62-0.95]). Based on these results, it can be concluded that the BT LFT device is a rapid and sensitive first-line serological test that can be used in the field, especially in areas endemic for the disease where there is a lack of diagnostic facilities. (C) 2015 Elsevier B.V. All rights reserved.",2016
6815," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede (2016).  Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies Journal of Virological Methods, 228(#issue#),  140-150",1,"Diagnostic test validation",2015,"Bluetongue virus","","","","not investigated/not given/not relevant","CATTLE - Cattle (Bos taurus)","Adult",NA,"not investigated/not given/not relevant","Other","","animal","",138,"not investigated/not given/not relevant","","not investigated/not given/not relevant","Reference test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","ID Vet ID screen BTV competition","not investigated/not given/not relevant",NA,138,NA,NA,93,45,"","",NA,NA,NA,NA,"Possible cross reactivity with EHDV infected bovines",2,"68151","Serum","comparison"," Jean-Baptiste Hanon, et al. 2016."," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede","Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies","Bluetongue (BT) is a viral vector-borne disease affecting domestic and wild ruminants worldwide. In this study, a commercial rapid immuno-chromatographic method or Lateral Flow Test (LFT) device, for the detection of BT virus-specific antibodies in animal serum, was evaluated in an international inter laboratory proficiency test. The evaluation was done with sera samples of variable background (ruminant species, serotype, field samples, experimental infections, vaccinated animals). The diagnostic sensitivity was 100% (95% C.I. [90.5-100]) and the diagnostic specificity was 95.2% (95% C.I. [76.2-99.9]). The repeatability (accordance) and reproducibility (concordance) were 100% for seropositive samples but were lower for two of the seronegative samples (45% and 89% respectively). The analytical sensitivity, evaluated by testing positive sera at increasing dilutions was better for the BT LFT compared to some commercial ELISAs. Seroconversion of an infected sheep was detected at 4 days post infection. Analytical specificity was impaired by cross-reactions observed with some of the samples seropositive for Epizootic Haemorrhagic Disease Virus (EHDV). The agreement (Cohen's kappa) between the LFT and a commercial BT competitive ELISA was 0.79 (95% CI [0.62-0.95]). Based on these results, it can be concluded that the BT LFT device is a rapid and sensitive first-line serological test that can be used in the field, especially in areas endemic for the disease where there is a lack of diagnostic facilities. (C) 2015 Elsevier B.V. All rights reserved.",2016
6815," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede (2016).  Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies Journal of Virological Methods, 228(#issue#),  140-150",2,"Diagnostic test validation",2015,"Bluetongue virus","","","","not investigated/not given/not relevant","CATTLE - Cattle (Bos taurus)","Adult",NA,"not investigated/not given/not relevant","Other","","animal","",138,"not investigated/not given/not relevant","","not investigated/not given/not relevant","Index test","Antibody","IgG ELISA","","Based on the VP7 protein","Laboratory test is BTV Lateral Flow Test device (Ingezim BTV CROM Anticuerpo)","Negative if only the blue control line is visible, positive if blue control and red test line are visible",NA,138,NA,NA,105,33,"","",NA,NA,NA,NA,"Possible cross reactivity with EHDV infected bovines",3,"68152","Serum","comparison"," Jean-Baptiste Hanon, et al. 2016."," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede","Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies","Bluetongue (BT) is a viral vector-borne disease affecting domestic and wild ruminants worldwide. In this study, a commercial rapid immuno-chromatographic method or Lateral Flow Test (LFT) device, for the detection of BT virus-specific antibodies in animal serum, was evaluated in an international inter laboratory proficiency test. The evaluation was done with sera samples of variable background (ruminant species, serotype, field samples, experimental infections, vaccinated animals). The diagnostic sensitivity was 100% (95% C.I. [90.5-100]) and the diagnostic specificity was 95.2% (95% C.I. [76.2-99.9]). The repeatability (accordance) and reproducibility (concordance) were 100% for seropositive samples but were lower for two of the seronegative samples (45% and 89% respectively). The analytical sensitivity, evaluated by testing positive sera at increasing dilutions was better for the BT LFT compared to some commercial ELISAs. Seroconversion of an infected sheep was detected at 4 days post infection. Analytical specificity was impaired by cross-reactions observed with some of the samples seropositive for Epizootic Haemorrhagic Disease Virus (EHDV). The agreement (Cohen's kappa) between the LFT and a commercial BT competitive ELISA was 0.79 (95% CI [0.62-0.95]). Based on these results, it can be concluded that the BT LFT device is a rapid and sensitive first-line serological test that can be used in the field, especially in areas endemic for the disease where there is a lack of diagnostic facilities. (C) 2015 Elsevier B.V. All rights reserved.",2016
7066," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174",1,"longitudinal",2008,"Bluetongue virus","","","","BTV8","Sheep (Ovis aries)","Adult",NA,"not investigated/not given/not relevant","Census","","animal","",27,"subcutaneous","","2.1 ml 1:2 BTV-8 infected cattle blood","Index test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","BDSL ELISA","not investigated/not given/not relevant",5,27,NA,NA,0,27,"","",NA,NA,NA,NA,"not investigated/not given/not relevant",4,"70661","Serum","comparison"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7066," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174",1,"longitudinal",2008,"Bluetongue virus","","","","BTV8","Sheep (Ovis aries)","Adult",NA,"not investigated/not given/not relevant","Census","","animal","",27,"subcutaneous","","2.1 ml 1:2 BTV-8 infected cattle blood","Index test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","BDSL ELISA","not investigated/not given/not relevant",6,27,NA,NA,1,26,"","",NA,NA,NA,NA,"not investigated/not given/not relevant",5,"70661","Serum","comparison"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7066," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174",2,"longitudinal",2008,"Bluetongue virus","","","","BTV8","Sheep (Ovis aries)","Adult",NA,"not investigated/not given/not relevant","Census","","animal","",27,"not investigated/not given/not relevant","","2.1 ml 1:2 BTV-8 infected cattle blood","Index test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","IDVET ELISA","not investigated/not given/not relevant",5,27,NA,NA,0,27,"","",NA,NA,NA,NA,"not investigated/not given/not relevant",6,"70662","Serum","comparison"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7066," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174",2,"longitudinal",2008,"Bluetongue virus","","","","BTV8","Sheep (Ovis aries)","Adult",NA,"not investigated/not given/not relevant","Census","","animal","",27,"not investigated/not given/not relevant","","2.1 ml 1:2 BTV-8 infected cattle blood","Index test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","IDVET ELISA","not investigated/not given/not relevant",6,27,NA,NA,0,27,"","",NA,NA,NA,NA,"not investigated/not given/not relevant",7,"70662","Serum","comparison"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7066," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174",3,"longitudinal",2008,"Bluetongue virus","","","","BTV8","Sheep (Ovis aries)","Adult",NA,"not investigated/not given/not relevant","Census","","animal","",27,"not investigated/not given/not relevant","","2.1 ml 1:2 BTV-8 infected cattle blood","Index test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","Pourquier ELISA","not investigated/not given/not relevant",5,27,NA,NA,0,27,"","",NA,NA,NA,NA,"not investigated/not given/not relevant",8,"70663","Serum","comparison"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7066," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174",3,"longitudinal",2008,"Bluetongue virus","","","","BTV8","Sheep (Ovis aries)","Adult",NA,"not investigated/not given/not relevant","Census","","animal","",27,"not investigated/not given/not relevant","","2.1 ml 1:2 BTV-8 infected cattle blood","Index test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","POURQUIER ELISA","not investigated/not given/not relevant",6,27,NA,NA,0,27,"","",NA,NA,NA,NA,"not investigated/not given/not relevant",9,"70663","Serum","comparison"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7066," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174",4,"longitudinal",2008,"Bluetongue virus","","","","BTV8","Sheep (Ovis aries)","Adult",NA,"not investigated/not given/not relevant","Census","","animal","",27,"not investigated/not given/not relevant","","2.1 ml 1:2 BTV-8 infected cattle blood","Index test","Antibody","ELISA, Competitive ELISA (C-ELISA)","","not investigatedd/not given/not relevant","VMRD ELISA","not investigated/not given/not relevant",6,27,NA,NA,0,27,"","",NA,NA,NA,NA,"not investigated/not given/not relevant",10,"70664","Serum","comparison"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
