"Refid","agent","targetSpecies","labTest","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
6815,"Bluetongue virus","CATTLE - Cattle (Bos taurus)","IgG ELISA"," Jean-Baptiste Hanon, et al. 2016."," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede (2016).  Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies Journal of Virological Methods, 228(#issue#),  140-150"," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede","Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies","Bluetongue (BT) is a viral vector-borne disease affecting domestic and wild ruminants worldwide. In this study, a commercial rapid immuno-chromatographic method or Lateral Flow Test (LFT) device, for the detection of BT virus-specific antibodies in animal serum, was evaluated in an international inter laboratory proficiency test. The evaluation was done with sera samples of variable background (ruminant species, serotype, field samples, experimental infections, vaccinated animals). The diagnostic sensitivity was 100% (95% C.I. [90.5-100]) and the diagnostic specificity was 95.2% (95% C.I. [76.2-99.9]). The repeatability (accordance) and reproducibility (concordance) were 100% for seropositive samples but were lower for two of the seronegative samples (45% and 89% respectively). The analytical sensitivity, evaluated by testing positive sera at increasing dilutions was better for the BT LFT compared to some commercial ELISAs. Seroconversion of an infected sheep was detected at 4 days post infection. Analytical specificity was impaired by cross-reactions observed with some of the samples seropositive for Epizootic Haemorrhagic Disease Virus (EHDV). The agreement (Cohen's kappa) between the LFT and a commercial BT competitive ELISA was 0.79 (95% CI [0.62-0.95]). Based on these results, it can be concluded that the BT LFT device is a rapid and sensitive first-line serological test that can be used in the field, especially in areas endemic for the disease where there is a lack of diagnostic facilities. (C) 2015 Elsevier B.V. All rights reserved.",2016
6815,"Bluetongue virus","CATTLE - Cattle (Bos taurus)","ELISA, Competitive ELISA (C-ELISA)"," Jean-Baptiste Hanon, et al. 2016."," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede (2016).  Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies Journal of Virological Methods, 228(#issue#),  140-150"," Jean-Baptiste Hanon, Valerie Vandenberge, Matthias Deruelle, Ilse De Leeuw, Kris De Clercq, Steven Van Borm, Frank Koenen, Lihong Liu, Bernd Hoffmann, Carrie Anne Battens, Stephan Zientara, Emmanuel Breard, Yves Van der Stede","Inter-laboratory evaluation of the performance parameters of a Lateral Flow Test device for the detection of Bluetongue virus-specific antibodies","Bluetongue (BT) is a viral vector-borne disease affecting domestic and wild ruminants worldwide. In this study, a commercial rapid immuno-chromatographic method or Lateral Flow Test (LFT) device, for the detection of BT virus-specific antibodies in animal serum, was evaluated in an international inter laboratory proficiency test. The evaluation was done with sera samples of variable background (ruminant species, serotype, field samples, experimental infections, vaccinated animals). The diagnostic sensitivity was 100% (95% C.I. [90.5-100]) and the diagnostic specificity was 95.2% (95% C.I. [76.2-99.9]). The repeatability (accordance) and reproducibility (concordance) were 100% for seropositive samples but were lower for two of the seronegative samples (45% and 89% respectively). The analytical sensitivity, evaluated by testing positive sera at increasing dilutions was better for the BT LFT compared to some commercial ELISAs. Seroconversion of an infected sheep was detected at 4 days post infection. Analytical specificity was impaired by cross-reactions observed with some of the samples seropositive for Epizootic Haemorrhagic Disease Virus (EHDV). The agreement (Cohen's kappa) between the LFT and a commercial BT competitive ELISA was 0.79 (95% CI [0.62-0.95]). Based on these results, it can be concluded that the BT LFT device is a rapid and sensitive first-line serological test that can be used in the field, especially in areas endemic for the disease where there is a lack of diagnostic facilities. (C) 2015 Elsevier B.V. All rights reserved.",2016
7066,"Bluetongue virus","Sheep (Ovis aries)","ELISA, Competitive ELISA (C-ELISA)"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174"," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7066,"Bluetongue virus","Sheep (Ovis aries)","Seroneutralisation test"," Gabriella Worwa, et al. 2013."," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer (2013).  Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test Journal of Virological Methods, 188(#issue#),  168-174"," Gabriella Worwa, Valerie Chaignat, Julia Feldmann, Barbara Thuer","Detection of neutralizing antibodies against bluetongue virus serotype 8 by an optimized plasma neutralization test","The neutralization test is used commonly for quantifying neutralizing antibodies and for distinguishing among different virus serotypes (serotyping). Due to the co-circulation of multiple serotypes of Blue-tongue virus (BTV), the neutralization test has become an important surveillance method in Europe. However, the existence of different protocols makes test standardization and interpretation of results difficult. The current paper describes the development of a neutralization test using plasma and addresses the factors critical for detection of neutralizing antibodies against BTV serotype 8 (BTV-8), such as virus propagation, stability of virus infectivity and origin of the BTV-8 strain. The results indicated that animals exposed to the Northern European BTV-8 strain developed low neutralizing antibody titers, particularly after vaccination and experimental infection. Although clearly ELISA-positive, these samples often yielded false negative results when tested by the neutralization test using the OIE recommended virus concentration of 100 TCID50/50 mu l. The sensitivity of the neutralization test could be improved significantly with retained specificity by using a reduced TCID50 and the homologous European BTV-8 strain instead of the South African reference strain. (C) 2013 Elsevier B.V. All rights reserved.",2013
7318,"Bluetongue virus","CATTLE - Cattle (Bos taurus)","ELISA, Competitive ELISA (C-ELISA)"," Niedbalski W. 2011."," W. Niedbalski (2011).  Evaluation of commercial ELISA kits for the detection of antibodies against bluetongue virus Polish Journal of Veterinary Sciences, 14(#issue#),  615-619"," W. Niedbalski","Evaluation of commercial ELISA kits for the detection of antibodies against bluetongue virus","The aim of this study was to estimate the diagnostic value of different commercially available ELISA kits for the detection of bluetongue virus (BTV) antibodies in infected and vaccinated animals. The relative specificity of ELISA kits was evaluated using a panel of sera originating from healthy cattle, never vaccinated nor exposed to BTV. All ELISA kits applied had a high relative specificity (99.3 - 100%). The relative sensitivity of ELISA kits assessed using a panel of sera collected from BTV infected cattle was also high and similar for all the kits (97.3 - 100%). However, the relative sensitivity evaluated on the basis of testing vaccinated animals was different: the highest sensitivity was found for Ingenasa, PrioCHECK and ID VET ELISAs (96.5 - 98.3%). Slightly lower sensitivity was calculated for Pourquier and LSI kits (82.8% and 85.4%, respectively) and much lower sensitivity was found for VMRD ELISA kit (69.5%). The repeatability of BTV ELISA kits was expressed as a coefficient of variation (CV) of results of sera tested 5 times in the same day and in different days by the period of 2 months, by the same person, in the same conditions, and by using the same equipment. The CVs of sera tested in all ELISA kits ranged from 6.1 to 9.8% and were below 10% threshold adopted as a maximum for the acceptable repeatability of the method. In conclusion, it can be stated that the applied ELISA kits can be a valuable diagnostic tool for the serological monitoring studies in the BTV contaminated premises. All the methods are very specific and sensitive when testing BTV infected animals. Nevertheless, the Ingenasa and PrioCHECK can be the most useful in sero-surveillance of livestock following vaccination.",2011
7393,"Bluetongue virus","CATTLE - Cattle (Bos taurus)","ELISA, Competitive ELISA (C-ELISA)"," Niedbalski W. 2010."," W. Niedbalski (2010).  Comparison of four ELISAs for the detection of antibodies against bluetongue virus Medycyna Weterynaryjna, 66(#issue#),  106-108"," W. Niedbalski","Comparison of four ELISAs for the detection of antibodies against bluetongue virus","The aim of this study was to determine the diagnostic specificity, sensitivity and repeatability of four commercially available ELISA kits for the detection of antibodies against bluetongue (BT) virus. The relative specificity of ELISAs was estimated using a panel of sera originated from healthy cattle never vaccinated nor exposed to BT virus. All ELISA kits had a high relative specificity (99.2-99.4%). The relative sensitivity of ELISAs estimated using a panel of sera collected from BTV infected cattle was also high and similar for all kits (97.4-100%). However, the relative sensitivity evaluated on the basis of testing of vaccinated animals was different for the used ELISAs: the LSI, ID VET and Ingenasa kits had a high sensitivity (85.2-98.2%) but the sensitivity of VMRD ELISA was much lower (68.6%). The repeatability of ELISAs was expressed as a coefficient of variation (CV) of results of sera tested 5 times in the same day and 10 times in different days through the period of 2 months, by the same person, in the same conditions, and by using of the same equipment. The CVs of sera tested in Ingenasa and ID VET kits ranged from 6.1 to 9.8% and were below the 10% threshold adopted as a maximal for the acceptable repeatability of a method. In conclusion, it can be stated that the applied ELISAs can be a valuable diagnostic tool for the serological monitoring studies in the BTV infected premises. Nevertheless, the Ingenasa and ID VET ELISAs can be the most useful in sero-surveillance of livestock following vaccination.",2010
7459,"Bluetongue virus","Sheep (Ovis aries)","Enzyme linked immunosorbent assay (ELISA)"," Pourquier P, et al. 2009."," P. Pourquier, S. Lesceu (2009).  Preliminary validation of the ID screen bluetongue early detection ELISA 14th International Symposium for the World Association of Veterinary Laboratory Diagnosticians, WAVLD 2009, Madrid, Spain, 18-20 June 2009, #volume#(#issue#),  229-229"," P. Pourquier, S. Lesceu","Preliminary validation of the ID screen bluetongue early detection ELISA","",2009
7459,"Bluetongue virus","Sheep (Ovis aries)","ELISA, Competitive ELISA (C-ELISA)"," Pourquier P, et al. 2009."," P. Pourquier, S. Lesceu (2009).  Preliminary validation of the ID screen bluetongue early detection ELISA 14th International Symposium for the World Association of Veterinary Laboratory Diagnosticians, WAVLD 2009, Madrid, Spain, 18-20 June 2009, #volume#(#issue#),  229-229"," P. Pourquier, S. Lesceu","Preliminary validation of the ID screen bluetongue early detection ELISA","",2009
7514,"Bluetongue virus","CATTLE - Cattle (Bos taurus)","ELISA, Competitive ELISA (C-ELISA)"," Kramps JohannesA, et al. 2008."," Johannes A. Kramps, Kees van Maanen, Maria H. Mars, Johan K. Popma, Piet A. van Rijn (2008).  Validation of a commercial ELISA for the detection of bluetongue virus (BTV)-specific antibodies in individual milk samples of Dutch dairy cows Veterinary Microbiology, 130(#issue#),  80-87"," Johannes A. Kramps, Kees van Maanen, Maria H. Mars, Johan K. Popma, Piet A. van Rijn","Validation of a commercial ELISA for the detection of bluetongue virus (BTV)-specific antibodies in individual milk samples of Dutch dairy cows","A recently developed indirect ELISA for the detection of bluetongue virus (BTV)-specific antibodies in bovine milk samples was compared to that of the routinely used competitive ELISA on serum samples. During the bluetongue outbreak in the Netherlands in 2006, caused by BTV serotype 8, coupled serum and milk samples were obtained from 470 individual cows from 10 BTV-infected farms with an average seroprevalence of 57%. In addition, bulk milk samples of the same farms, and historically BT-negative samples were tested. Compared to the ELISA for sera, the relative specificity and sensitivity of the ELISA for milk samples is 96.5% and 98.9%, respectively when using a S/P% cut-off value of 50% as advised by the manufacturer. The optimal cut-off value was found at S/P% of 90% revealing an optimal specificity (99.0%) combined with an optimal sensitivity (98.1 %). Titres in positive individual milk samples ranged from 1 to 2048 with a peak titre of 128. Bulk milk samples contained antibodies with titres ranging from 64 to 512. The ELISA for milk samples was found to be a reliable and robust test. This diagnostic tool is very useful, and may replace the ELISA for serum samples as first choice in order to get insight into the status of lactating individual animals and therewith of the entire herd with respect to BTV infection. (c) 2008 Elsevier B.V. All rights reserved.",2008
7514,"Bluetongue virus","CATTLE - Cattle (Bos taurus)","Real-Time PCR (qualitative or quantitative)"," Kramps JohannesA, et al. 2008."," Johannes A. Kramps, Kees van Maanen, Maria H. Mars, Johan K. Popma, Piet A. van Rijn (2008).  Validation of a commercial ELISA for the detection of bluetongue virus (BTV)-specific antibodies in individual milk samples of Dutch dairy cows Veterinary Microbiology, 130(#issue#),  80-87"," Johannes A. Kramps, Kees van Maanen, Maria H. Mars, Johan K. Popma, Piet A. van Rijn","Validation of a commercial ELISA for the detection of bluetongue virus (BTV)-specific antibodies in individual milk samples of Dutch dairy cows","A recently developed indirect ELISA for the detection of bluetongue virus (BTV)-specific antibodies in bovine milk samples was compared to that of the routinely used competitive ELISA on serum samples. During the bluetongue outbreak in the Netherlands in 2006, caused by BTV serotype 8, coupled serum and milk samples were obtained from 470 individual cows from 10 BTV-infected farms with an average seroprevalence of 57%. In addition, bulk milk samples of the same farms, and historically BT-negative samples were tested. Compared to the ELISA for sera, the relative specificity and sensitivity of the ELISA for milk samples is 96.5% and 98.9%, respectively when using a S/P% cut-off value of 50% as advised by the manufacturer. The optimal cut-off value was found at S/P% of 90% revealing an optimal specificity (99.0%) combined with an optimal sensitivity (98.1 %). Titres in positive individual milk samples ranged from 1 to 2048 with a peak titre of 128. Bulk milk samples contained antibodies with titres ranging from 64 to 512. The ELISA for milk samples was found to be a reliable and robust test. This diagnostic tool is very useful, and may replace the ELISA for serum samples as first choice in order to get insight into the status of lactating individual animals and therewith of the entire herd with respect to BTV infection. (c) 2008 Elsevier B.V. All rights reserved.",2008
