"Refid","agent","targetSpecies","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
2,"Bluetongue virus","Sheep (Ovis aries)"," Karin E. Darpel, James Barber, Andrew Hope, Anthony J. Wilson, Simon Gubbins, Mark Henstock, Lorraine Frost, Carrie Batten, Eva Veronesi, Katy Moffat, Simon Carpenter, Chris Oura, Philip S. Mellor, Peter P. C. Mertens (2016).  Using shared needles for subcutaneous inoculation can transmit bluetongue virus mechanically between ruminant hosts Scientific Reports, 6(#issue#),  #Pages#"," Karin E. Darpel, James Barber, Andrew Hope, Anthony J. Wilson, Simon Gubbins, Mark Henstock, Lorraine Frost, Carrie Batten, Eva Veronesi, Katy Moffat, Simon Carpenter, Chris Oura, Philip S. Mellor, Peter P. C. Mertens (2016).  Using shared needles for subcutaneous inoculation can transmit bluetongue virus mechanically between ruminant hosts Scientific Reports, 6(#issue#),  #Pages#"," Karin E. Darpel, James Barber, Andrew Hope, Anthony J. Wilson, Simon Gubbins, Mark Henstock, Lorraine Frost, Carrie Batten, Eva Veronesi, Katy Moffat, Simon Carpenter, Chris Oura, Philip S. Mellor, Peter P. C. Mertens","Using shared needles for subcutaneous inoculation can transmit bluetongue virus mechanically between ruminant hosts","Bluetongue virus (BTV) is an economically important arbovirus of ruminants that is transmitted by Culicoides spp. biting midges. BTV infection of ruminants results in a high viraemia, suggesting that repeated sharing of needles between animals could result in its iatrogenic transmission. Studies defining the risk of iatrogenic transmission of blood-borne pathogens by less invasive routes, such as subcutaneous or intradermal inoculations are rare, even though the sharing of needles is common practice for these inoculation routes in the veterinary sector. Here we demonstrate that BTV can be transmitted by needle sharing during subcutaneous inoculation, despite the absence of visible blood contamination of the needles. The incubation period, measured from sharing of needles, to detection of BTV in the recipient sheep or cattle, was substantially longer than has previously been reported after experimental infection of ruminants by either direct inoculation of virus, or through blood feeding by infected Culicoides. Although such mechanical transmission is most likely rare under field condition, these results are likely to influence future advice given in relation to sharing needles during veterinary vaccination campaigns and will also be of interest for the public health sector considering the risk of pathogen transmission during subcutaneous inoculations with re-used needles.",2016
2,"Bluetongue virus","CATTLE - Cattle (Bos taurus)"," Karin E. Darpel, James Barber, Andrew Hope, Anthony J. Wilson, Simon Gubbins, Mark Henstock, Lorraine Frost, Carrie Batten, Eva Veronesi, Katy Moffat, Simon Carpenter, Chris Oura, Philip S. Mellor, Peter P. C. Mertens (2016).  Using shared needles for subcutaneous inoculation can transmit bluetongue virus mechanically between ruminant hosts Scientific Reports, 6(#issue#),  #Pages#"," Karin E. Darpel, James Barber, Andrew Hope, Anthony J. Wilson, Simon Gubbins, Mark Henstock, Lorraine Frost, Carrie Batten, Eva Veronesi, Katy Moffat, Simon Carpenter, Chris Oura, Philip S. Mellor, Peter P. C. Mertens (2016).  Using shared needles for subcutaneous inoculation can transmit bluetongue virus mechanically between ruminant hosts Scientific Reports, 6(#issue#),  #Pages#"," Karin E. Darpel, James Barber, Andrew Hope, Anthony J. Wilson, Simon Gubbins, Mark Henstock, Lorraine Frost, Carrie Batten, Eva Veronesi, Katy Moffat, Simon Carpenter, Chris Oura, Philip S. Mellor, Peter P. C. Mertens","Using shared needles for subcutaneous inoculation can transmit bluetongue virus mechanically between ruminant hosts","Bluetongue virus (BTV) is an economically important arbovirus of ruminants that is transmitted by Culicoides spp. biting midges. BTV infection of ruminants results in a high viraemia, suggesting that repeated sharing of needles between animals could result in its iatrogenic transmission. Studies defining the risk of iatrogenic transmission of blood-borne pathogens by less invasive routes, such as subcutaneous or intradermal inoculations are rare, even though the sharing of needles is common practice for these inoculation routes in the veterinary sector. Here we demonstrate that BTV can be transmitted by needle sharing during subcutaneous inoculation, despite the absence of visible blood contamination of the needles. The incubation period, measured from sharing of needles, to detection of BTV in the recipient sheep or cattle, was substantially longer than has previously been reported after experimental infection of ruminants by either direct inoculation of virus, or through blood feeding by infected Culicoides. Although such mechanical transmission is most likely rare under field condition, these results are likely to influence future advice given in relation to sharing needles during veterinary vaccination campaigns and will also be of interest for the public health sector considering the risk of pathogen transmission during subcutaneous inoculations with re-used needles.",2016
15,"African swine fever virus","PIG - Pig (Sus scrofa domesticus) "," Jennifer Bernard, Evelyne Hutet, Frederic Paboeuf, Tantely Randriamparany, Philippe Holzmuller, Renaud Lancelot, Valerie Rodrigues, Laurence Vial, Marie-Frederique Le Potier (2016).  Effect of O. porcinus Tick Salivary Gland Extract on the African Swine Fever Virus Infection in Domestic Pig PloS one, 11(#issue#),  e0147869-e0147869"," Jennifer Bernard, Evelyne Hutet, Frederic Paboeuf, Tantely Randriamparany, Philippe Holzmuller, Renaud Lancelot, Valerie Rodrigues, Laurence Vial, Marie-Frederique Le Potier (2016).  Effect of O. porcinus Tick Salivary Gland Extract on the African Swine Fever Virus Infection in Domestic Pig PloS one, 11(#issue#),  e0147869-e0147869"," Jennifer Bernard, Evelyne Hutet, Frederic Paboeuf, Tantely Randriamparany, Philippe Holzmuller, Renaud Lancelot, Valerie Rodrigues, Laurence Vial, Marie-Frederique Le Potier","Effect of O. porcinus Tick Salivary Gland Extract on the African Swine Fever Virus Infection in Domestic Pig","African swine fever is a haemorrhagic disease in pig production that can have disastrous financial consequences for farming. No vaccines are currently available and animal slaughtering or area zoning to restrict risk-related movements are the only effective measures to prevent the spread of the disease. Ornithodoros soft ticks are known to transmit the African swine fever virus (ASFV) to pigs in farms, following the natural epidemiologic cycle of the virus. Tick saliva has been shown to modulate the host physiological and immunological responses during feeding on skin, thus affecting viral infection. To better understand the interaction between soft tick, ASFV and pig at the bite location and the possible influence of tick saliva on pig infection by ASFV, salivary gland extract (SGE) of Ornithodoros porcinus, co-inoculated or not with ASFV, was used for intradermal auricular inoculation. Our results showed that, after the virus triggered the disease, pigs inoculated with virus and SGE presented greater hyperthermia than pigs inoculated with virus alone. The density of Langerhans cells was modulated at the tick bite or inoculation site, either through recruitment by ASFV or inhibition by SGE. Additionally, SGE and virus induced macrophage recruitment each. This effect was enhanced when they were co-inoculated. Finally, the co-inoculation of SGE and virus delayed the early local spread of virus to the first lymph node on the inoculation side. This study has shown that the effect of SGE was powerful enough to be quantified in pig both on the systemic and local immune response. We believe this model should be developed with infected tick and could improve knowledge of both tick vector competence and tick saliva immunomodulation.",2016
22,"Epizootic haemorrhagic disease virus","DEER - white-tailed deer (Odocoileus virginianus)"," Prachi Sharma, David E. Stallknecht, Molly D. Murphy, Elizabeth W. Howerth (2015).  Expression of interleukin-1 beta and interleukin-6 in white-tailed deer infected with Epizootic haemorrhagic disease virus Veterinaria Italiana, 51(#issue#),  283-288"," Prachi Sharma, David E. Stallknecht, Molly D. Murphy, Elizabeth W. Howerth (2015).  Expression of interleukin-1 beta and interleukin-6 in white-tailed deer infected with Epizootic haemorrhagic disease virus Veterinaria Italiana, 51(#issue#),  283-288"," Prachi Sharma, David E. Stallknecht, Molly D. Murphy, Elizabeth W. Howerth","Expression of interleukin-1 beta and interleukin-6 in white-tailed deer infected with Epizootic haemorrhagic disease virus","The pathogenesis of Epizootic haemorrhagic disease (EHD) in white-tailed deer (Odocoileus virginianus, WTD) may be related to factors other than direct viral damage caused by replication in endothelium, such as the release of cytokines. This study focused on interleukin-1 beta (IL-1) and interleukin-6 (IL-6), which have been shown to be variably upregulated in Bluetongue virus (BTV) infected cattle and sheep endothelial cultures possibly explaining species susceptibility to BTV. We evaluated circulating and tissue levels of IL-1 and IL-6 in WTD experimentally infected with EHD virus serotype 2 (EHDV-2). Circulating levels of IL-1 were assayed by ELISA. RT-PCR and immunohistochemistry (IHC) were used to detect upregulation of IL-1 and IL-6 mRNA as well as protein expression, respectively. RT-PCR was also used to determine whether IL-1 and IL-6 were upregulated in WTD peripheral blood mononuclear cells (PBMC) infected with EHDV-2 in vitro. We found increased circulating levels of IL-1 and upregulation of IL-1 mRNA and protein expression and upregulation of IL-6 mRNA in tissues of WTD infected with EHDV. Upregulation of mRNA levels of IL-1 and IL-6 in EHDV infected PBMCs was also observed. Findings suggest a role for IL-1 and IL-6 in the pathogenesis of EHD in WTD.",2015
23,"Epizootic haemorrhagic disease virus","CATTLE - Cattle (Bos taurus)"," Mark G. Ruder, Daniel G. Mead, David E. Stallknecht, Maor Kedmi, Eyal Klement, Justin D. Brown, Deborah L. Carter, Elizabeth W. Howerth (2015).  Experimental infection of Holstein cows and calves with EHDV-7 and preliminary evaluation of different inoculation methods Veterinaria Italiana, 51(#issue#),  289-299"," Mark G. Ruder, Daniel G. Mead, David E. Stallknecht, Maor Kedmi, Eyal Klement, Justin D. Brown, Deborah L. Carter, Elizabeth W. Howerth (2015).  Experimental infection of Holstein cows and calves with EHDV-7 and preliminary evaluation of different inoculation methods Veterinaria Italiana, 51(#issue#),  289-299"," Mark G. Ruder, Daniel G. Mead, David E. Stallknecht, Maor Kedmi, Eyal Klement, Justin D. Brown, Deborah L. Carter, Elizabeth W. Howerth","Experimental infection of Holstein cows and calves with EHDV-7 and preliminary evaluation of different inoculation methods","Infection of cattle with Epizootic haemorrhagic disease (EHD) virus (EHDV) is frequently subclinical, yet reports of disease have increased in recent years. In 2006, a widespread EHDV-7 epidemic caused disease and economic loss in the Israeli dairy industry. In this study, the main objective was to infect cattle with EHDV-7 and replicate disease observed in Israel during 2006. Two infection studies were performed. Experiment 1, 4 cows inoculated with intradermal (ID) and subcutaneous (SC) injections with an EHDV-7 blood inoculum. Experiment 2, 6 calves inoculated using 1 of the following 3 methods (2 calves/method): (1) mammalian cell culture supernatant by ID and SC injection; (2) culture supernatant by ID, SC, and intravenous injection; and (3) bite transmission from Culicoides sonorensis. Further, during experiment 2, C. sonorensis were fed on 4 infected calves (18 days post-inoculation) and processed for virus isolation 10 days later in order to evaluate infectivity of low-titer viraemia. Three cows had detectable viraemia and all 4 seroconverted. No clinical signs were observed. All 6 calves developed viraemia, peaking 7-10 dpi and all calves seroconverted. No differences in virus kinetics were observed between the inoculation groups. Calves in group 2 had transiently elevated rectal temperatures but no other clinical abnormalities were observed. The 124 midge pools processed after feeding on calves with low-titer viraemia were virus isolation negative. Detectable viraemia was more consistent in calves than adult cows. This study demonstrates US-origin cattle are susceptible to EHDV-7 infection by multiple inoculation methods; however, as reported in other studies, the disease was not replicated experimentally.",2015
36,"African swine fever virus","PIG - Pig (Sus scrofa domesticus) "," C. Gallardo, A. Soler, R. Nieto, M. A. Sanchez, C. Martins, V. Pelayo, A. Carrascosa, Y. Revilla, A. Simon, V. Briones, J. M. Sanchez-Vizcaino, M. Arias (2015).  Experimental Transmission of African Swine Fever (ASF) Low Virulent Isolate NH/P68 by Surviving Pigs Transboundary and Emerging Diseases, 62(#issue#),  612-622"," C. Gallardo, A. Soler, R. Nieto, M. A. Sanchez, C. Martins, V. Pelayo, A. Carrascosa, Y. Revilla, A. Simon, V. Briones, J. M. Sanchez-Vizcaino, M. Arias (2015).  Experimental Transmission of African Swine Fever (ASF) Low Virulent Isolate NH/P68 by Surviving Pigs Transboundary and Emerging Diseases, 62(#issue#),  612-622"," C. Gallardo, A. Soler, R. Nieto, M. A. Sanchez, C. Martins, V. Pelayo, A. Carrascosa, Y. Revilla, A. Simon, V. Briones, J. M. Sanchez-Vizcaino, M. Arias","Experimental Transmission of African Swine Fever (ASF) Low Virulent Isolate NH/P68 by Surviving Pigs","African swine fever (ASF) has persisted in Eastern Europe since 2007, and two endemic zones have been identified in the central and southern parts of the Russian Federation. Moderate- to low-virulent ASF virus isolates are known to circulate in endemic ASF-affected regions. To improve our knowledge of virus transmission in animals recovered from ASF virus infection, an experimental invivo study was carried out. Four domestic pigs were inoculated with the NH/P68 ASF virus, previously characterized to develop a chronic form of ASF. Two additional in-contact pigs were introduced at 72days post-inoculation (dpi) in the same box for virus exposure. The inoculated pigs developed a mild form of the disease, and the virus was isolated from tissues in the inoculated pigs up to 99dpi (pigs were euthanized at 36, 65, 99 and 134dpi). In-contact pigs showed mild or no clinical signs, but did become seropositive, and a transient viraemia was detected at 28days post-exposure (dpe), thereby confirming late virus transmission from the inoculated pigs. Virus transmission to in-contact pigs occurred at four weeks post-exposure, over three months after the primary infection. These results highlight the potential role of survivor pigs in disease maintenance and dissemination in areas where moderate- to low-virulent viruses may be circulating undetected. This study will help design better and more effective control programmes to fight against this disease.",2015
38,"Schmallenberg virus","ALPACA - Alpaca (Vicugna pacos)"," Claudia Schulz, Martin Beer, Bernd Hoffmann (2015).  Schmallenberg virus infection in South American camelids: Field and experimental investigations Veterinary Microbiology, 180(#issue#),  171-179"," Claudia Schulz, Martin Beer, Bernd Hoffmann (2015).  Schmallenberg virus infection in South American camelids: Field and experimental investigations Veterinary Microbiology, 180(#issue#),  171-179"," Claudia Schulz, Martin Beer, Bernd Hoffmann","Schmallenberg virus infection in South American camelids: Field and experimental investigations","During the first epizootic wave of the novel, teratogenic Schmallenberg virus (SBV, Orthobunyavirus) in ruminants in Northern Europe, serological evidence of a previous SBV-infection demonstrated that South American camelids (SAC) are also susceptible to SBV. However, their potential role in SBV spread remains unknown. To investigate the prevalence and course of SBV-infection in SAC, a German field study and an animal trial with three llamas and three alpacas were conducted. From September 2012 to December 2013, 313 of 502 SAC (62.35%) were found SBV seropositive, but negative for SBV-RNA. The estimated between-district (94.23% of 52) and median within-district (71.43%) and herd (73.13%) SBV seroprevalence in German SAC was similar to the seroprevalence reported in cattle herds and sheep flocks at the time. An age of >1 year was found a statistically significant risk factor for SBV-infection, which could be explained by the spatio-temporal spread of SBV in Germany during the study period. No clinical signs or an increase of abortion and congenital malformation associated with SBV-infection in SAC were reported by the study participants. Similar to SBV-infected ruminants, SBV-RNAemia in experimentally SBV-infected SAC was detected for a short time between days 3 and 7 after infection (dpi), and seroconversion occurred between 9 and 21 dpi. Despite the similar virological and serological results, the lack of clinical signs and congenital malformation associated with SBV-infection suggests that SBV causes subclinical infection in SAC. However, their role as reservoirs in the spread of SBV has to be further investigated. (C) 2015 Elsevier B.V. All rights reserved.",2015
38,"Schmallenberg virus","Llama"," Claudia Schulz, Martin Beer, Bernd Hoffmann (2015).  Schmallenberg virus infection in South American camelids: Field and experimental investigations Veterinary Microbiology, 180(#issue#),  171-179"," Claudia Schulz, Martin Beer, Bernd Hoffmann (2015).  Schmallenberg virus infection in South American camelids: Field and experimental investigations Veterinary Microbiology, 180(#issue#),  171-179"," Claudia Schulz, Martin Beer, Bernd Hoffmann","Schmallenberg virus infection in South American camelids: Field and experimental investigations","During the first epizootic wave of the novel, teratogenic Schmallenberg virus (SBV, Orthobunyavirus) in ruminants in Northern Europe, serological evidence of a previous SBV-infection demonstrated that South American camelids (SAC) are also susceptible to SBV. However, their potential role in SBV spread remains unknown. To investigate the prevalence and course of SBV-infection in SAC, a German field study and an animal trial with three llamas and three alpacas were conducted. From September 2012 to December 2013, 313 of 502 SAC (62.35%) were found SBV seropositive, but negative for SBV-RNA. The estimated between-district (94.23% of 52) and median within-district (71.43%) and herd (73.13%) SBV seroprevalence in German SAC was similar to the seroprevalence reported in cattle herds and sheep flocks at the time. An age of >1 year was found a statistically significant risk factor for SBV-infection, which could be explained by the spatio-temporal spread of SBV in Germany during the study period. No clinical signs or an increase of abortion and congenital malformation associated with SBV-infection in SAC were reported by the study participants. Similar to SBV-infected ruminants, SBV-RNAemia in experimentally SBV-infected SAC was detected for a short time between days 3 and 7 after infection (dpi), and seroconversion occurred between 9 and 21 dpi. Despite the similar virological and serological results, the lack of clinical signs and congenital malformation associated with SBV-infection suggests that SBV causes subclinical infection in SAC. However, their role as reservoirs in the spread of SBV has to be further investigated. (C) 2015 Elsevier B.V. All rights reserved.",2015
59,"Schmallenberg virus","Sheep (Ovis aries)"," Ludovic Martinelle, Antoine Poskin, Fabiana Dal Pozzo, Nick De Regge, Brigitte Cay, Claude Saegerman (2015).  Experimental Infection of Sheep at 45 and 60 Days of Gestation with Schmallenberg Virus Readily Led to Placental Colonization without Causing Congenital Malformations Plos One, 10(#issue#),  #Pages#"," Ludovic Martinelle, Antoine Poskin, Fabiana Dal Pozzo, Nick De Regge, Brigitte Cay, Claude Saegerman (2015).  Experimental Infection of Sheep at 45 and 60 Days of Gestation with Schmallenberg Virus Readily Led to Placental Colonization without Causing Congenital Malformations Plos One, 10(#issue#),  #Pages#"," Ludovic Martinelle, Antoine Poskin, Fabiana Dal Pozzo, Nick De Regge, Brigitte Cay, Claude Saegerman","Experimental Infection of Sheep at 45 and 60 Days of Gestation with Schmallenberg Virus Readily Led to Placental Colonization without Causing Congenital Malformations","Background Main impact of Schmallenberg virus (SBV) on livestock consists in reproductive disorders, with teratogenic effects, abortions and stillbirths. SBV pathogenesis and viral placental crossing remain currently poorly understood. Therefore, we implemented an experimental infection of ewes, inoculated with SBV at 45 or 60 days of gestation (dg). Methodology ""Mourerous"" breed ewes were randomly separated in three groups: eight and nine ewes were subcutaneously inoculated with 1 ml of SBV infectious serum at 45 and 60 dg, respectively (G45 and G60). Six other ewes were inoculated subcutaneously with sterile phosphate buffer saline as control group. All SBV inoculated ewes showed RNAemia consistent with previously published studies, they seroconverted and no clinical sign was reported. Lambs were born at term via caesarian-section, and right after birth they were blood sampled and clinically examined. Then both lambs and ewes were euthanatized and necropsied. Principal Findings/Significance No lambs showed any malformation suggestive of SBV infection and none of them had RNAemia or anti-SBV antibodies prior to colostrum uptake. Positive SBV RNA detection in organs was rare in both G45 and G60 lambs (2/11 and 1/10, respectively). Nevertheless most of the lambs in G45 (9/11) and G60 (9/10) had at least one extraembryonic structure SBV positive by RTqPCR. The number of positive extraembryonic structures was significantly higher in G60 lambs. Time of inoculation (45 or 60 dg) had no impact on the placental colonization success rate but affected the frequency of detecting the virus in the offspring extraembryonic structures by the time of lambing. SBV readily colonized the placenta when ewes were infected at 45 or 60 dg but infection of the fetuses was limited and did not lead to congenital malformations.",2015
63,"Leishmania infantum","Dog (Canis lupus familiaris)"," Mehdi Shahbazi, Farnaz Zahedifard, Noushin Saljoughian, Delaram Doroud, Shahram Jamshidi, Niousha Mandavi, Sadegh Shirian, Yahya Daneshbod, Sayyed Hamid Zarkesh-Esfahani, Barbara Papadopoulou, Sima Rafati (2015).  Immunological comparison of DNA vaccination using two delivery systems against canine leishmaniasis Veterinary Parasitology, 212(#issue#),  130-139"," Mehdi Shahbazi, Farnaz Zahedifard, Noushin Saljoughian, Delaram Doroud, Shahram Jamshidi, Niousha Mandavi, Sadegh Shirian, Yahya Daneshbod, Sayyed Hamid Zarkesh-Esfahani, Barbara Papadopoulou, Sima Rafati (2015).  Immunological comparison of DNA vaccination using two delivery systems against canine leishmaniasis Veterinary Parasitology, 212(#issue#),  130-139"," Mehdi Shahbazi, Farnaz Zahedifard, Noushin Saljoughian, Delaram Doroud, Shahram Jamshidi, Niousha Mandavi, Sadegh Shirian, Yahya Daneshbod, Sayyed Hamid Zarkesh-Esfahani, Barbara Papadopoulou, Sima Rafati","Immunological comparison of DNA vaccination using two delivery systems against canine leishmaniasis","Visceral leishmaniasis (VL) is a fatal disease caused by the intracellular protozoan parasite Leishmania infantum. Dogs are the primary reservoirs of this parasite, and vaccination of dogs could be an effective method to reduce its transfer to humans. In order to develop a vaccine against VL (apart from the choice of immunogenic candidate antigens), it is necessary to use an appropriate delivery system to promote a proper antigen-specific immune response. In this study, we compared two vaccine delivery systems, namely electroporation and cationic solid-lipid nanoparticle (cSLN) formulation, to administer a DNA vaccine containing the Leishmania donovani A2 antigen, and L. infantum cysteine proteinases of type I (CPA) and II (CPB) without its unusual C-terminal extension. The protective potencies of these two vaccine delivery systems were evaluated against L infantum challenge in outbred dogs. Our results show that the administration of pcDNA-A2-CPA-CPB-CTE GFP vaccine as a prime-boost by either electroporation or cSLN formulation protects the dogs against L. infantum infection. Partial protection in vaccinated dogs is associated with significantly (p < 0.05) higher levels of IgG2, IFN-gamma and TNF-alpha and with low levels of IgG1 and IL-10 as compared to the control group. Protection was also correlated with a low parasite burden and a strong delayed-type hypersensitivity (DTH) response. This study demonstrates that both electroporation and cSLN formulation can be used as efficient vaccine delivery systems against visceral leishmaniasis. (C) 2015 Elsevier B.V. All rights reserved.",2015
