"refID","FullReference","groupID","agent","agentSubtype","agentDetails","agentSubtypeDC1","targetSpecies","targetSpecies_C","sampUnitSize","matrix","matrix_C","matrixDetails","temperature","tempDetails","humidity","humidityDetails","labTest","targetLab","maxDetect","truncated","halfLife","LCI_halfLife","UCI_halfLife","rowID","uniqueID","ShortBibliography","Author","Title","Abstract","publicationYear"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",2,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",40,"mosquitos","","not investigated/not given/not relevant",-20,"",NA,"","Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,"not investigated/not given/not relevant",NA,NA,NA,1,"22512"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",3,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",20,"mosquitos","","not investigated/not given/not relevant",4,"",NA,"","Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,"not investigated/not given/not relevant",NA,NA,NA,2,"22513"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",4,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",40,"mosquitos","","not investigated/not given/not relevant",20,"",NA,"","Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,"not investigated/not given/not relevant",NA,NA,NA,3,"22514"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",1,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",19,"mosquitos","","not investigated/not given/not relevant",-70,"",NA,"","Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,"not investigated/not given/not relevant",NA,NA,NA,4,"22511"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",1,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",NA,"mosquitos","","not investigated/not given/not relevant",-70,"",NA,"","culture method","Virus",2,"not investigated/not given/not relevant",NA,NA,NA,5,"22511"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",2,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",NA,"mosquitos","","not investigated/not given/not relevant",-20,"",NA,"","culture method","Virus",2,"not investigated/not given/not relevant",NA,NA,NA,6,"22512"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",3,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",NA,"mosquitos","","not investigated/not given/not relevant",4,"",NA,"","culture method","Virus",2,"not investigated/not given/not relevant",NA,NA,NA,7,"22513"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2251," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3",4,"West Nile virus","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","not investigated/not given/not relevant","",NA,"mosquitos","","not investigated/not given/not relevant",20,"",NA,"","culture method","Virus",2,"not investigated/not given/not relevant",NA,NA,NA,8,"22514"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2495," C. Turner, S. M. Williams, P. J. Wilkinson (1999).  Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry Journal of Applied Microbiology, 87(#issue#),  447-453",1,"African swine fever virus","not investigated/not given/not relevant","Malawi isolate (lilongwe 20/1)","not investigated/not given/not relevant","Pig (Sus scrofa domesticus)","",NA,"Faeces","","not investigated/not given/not relevant",4,"",NA,"","Haemagglutination inhibition test (HIT)","Virus",1,"not investigated/not given/not relevant",NA,NA,NA,9,"24951"," Turner C, et al. 1999. "," C. Turner, S. M. Williams, P. J. Wilkinson","Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry","Assaying samples for infectious virus is more difficult when the sample is toxic to cells used in the assay, e.g. with samples of infected pig slurry. Various techniques were compared for the recovery of African swine fever virus (ASFV) and swine vesicular disease virus (SVDV) in pig slurry. Extraction with Freon led to 80-100% recovery of SVDV added to pig slurry. The assay sensitivity enabled undiluted, centrifuged sample to be put directly onto monolayers of IB-RS2 cells, allowing a minimum detection level of 10(0.7) pfu ml(-1) ASFV was difficult to recover intact, and the best technique allowed a recovery of 60% with a minimum detectable level of 10(1.8) HAD(50) ml(-1), due to toxicity to the cells at low sample dilutions. Extraction with the addition of an equal volume of ox serum to inoculated slurry was best at recovering ASFV. Poor recoveries with the other techniques may have been due to the inactivation of the virus while in the slurry rather than as a result of the inability of the method to extract ASFV.","1999"
2495," C. Turner, S. M. Williams, P. J. Wilkinson (1999).  Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry Journal of Applied Microbiology, 87(#issue#),  447-453",2,"African swine fever virus","not investigated/not given/not relevant","Malawi isolate (lilongwe 20/1)","not investigated/not given/not relevant","Pig (Sus scrofa domesticus)","",NA,"Faeces","","not investigated/not given/not relevant",22,"",NA,"","Haemagglutination inhibition test (HIT)","Virus",1,"not investigated/not given/not relevant",NA,NA,NA,10,"24952"," Turner C, et al. 1999. "," C. Turner, S. M. Williams, P. J. Wilkinson","Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry","Assaying samples for infectious virus is more difficult when the sample is toxic to cells used in the assay, e.g. with samples of infected pig slurry. Various techniques were compared for the recovery of African swine fever virus (ASFV) and swine vesicular disease virus (SVDV) in pig slurry. Extraction with Freon led to 80-100% recovery of SVDV added to pig slurry. The assay sensitivity enabled undiluted, centrifuged sample to be put directly onto monolayers of IB-RS2 cells, allowing a minimum detection level of 10(0.7) pfu ml(-1) ASFV was difficult to recover intact, and the best technique allowed a recovery of 60% with a minimum detectable level of 10(1.8) HAD(50) ml(-1), due to toxicity to the cells at low sample dilutions. Extraction with the addition of an equal volume of ox serum to inoculated slurry was best at recovering ASFV. Poor recoveries with the other techniques may have been due to the inactivation of the virus while in the slurry rather than as a result of the inability of the method to extract ASFV.","1999"
