"Refid","agent","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
2251,"West Nile virus"," Turell MJ, et al. 2002. "," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon (2002).  Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools Journal of Medical Entomology, 39(#issue#),  1-3"," M. J. Turell, A. R. Spring, M. K. Miller, C. E. Cannon","Effect of holding conditions on the detection of west nile viral RNA by reverse transcriptase-polymerase chain reaction from mosquito (Diptera : Culicidae) pools","We evaluated the effect of holding temperature and time between mosquito death and processing mosquito pools for virus detection on our ability to detect West Nile (WN) viral RNA from pools of mosquitoes by reverse transcriptase-polymerase chain reaction (RT-PCR). Pools of 24 uninfected Culex pipiens L. mosquitoes were ""spiked"" with either a single Cx. pipiens that had been inoculated previously with WN virus or with an uninfected mosquito. These pools were held dry at 20,4, -20, or - 70degreesC for selected time intervals before all mosquito pools were triturated in TRIzol(R)LS reagent and processed for detection of WN viral RNA. While infectious virus virtually disappeared from pools maintained at 20degreesC by 48 h after mosquito death, neither holding temperature (20 to -70degreesC) nor holding period (up to 2 wk) affected detection of WN viral RNA by real-time RT-PCR. These findings suggest that we need not keep mosquitoes chilled to be able to detect WN viral RNA effectively by RT-PCR. This should enhance the feasibility of field-based WN virus surveillance programs where only detection of WN viral RNA is the objective and maintenance of a cold chain may not be possible.","2002"
2495,"African swine fever virus"," Turner C, et al. 1999. "," C. Turner, S. M. Williams, P. J. Wilkinson (1999).  Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry Journal of Applied Microbiology, 87(#issue#),  447-453"," C. Turner, S. M. Williams, P. J. Wilkinson","Recovery and assay of African swine fever and swine vesicular disease viruses from pig slurry","Assaying samples for infectious virus is more difficult when the sample is toxic to cells used in the assay, e.g. with samples of infected pig slurry. Various techniques were compared for the recovery of African swine fever virus (ASFV) and swine vesicular disease virus (SVDV) in pig slurry. Extraction with Freon led to 80-100% recovery of SVDV added to pig slurry. The assay sensitivity enabled undiluted, centrifuged sample to be put directly onto monolayers of IB-RS2 cells, allowing a minimum detection level of 10(0.7) pfu ml(-1) ASFV was difficult to recover intact, and the best technique allowed a recovery of 60% with a minimum detectable level of 10(1.8) HAD(50) ml(-1), due to toxicity to the cells at low sample dilutions. Extraction with the addition of an equal volume of ox serum to inoculated slurry was best at recovering ASFV. Poor recoveries with the other techniques may have been due to the inactivation of the virus while in the slurry rather than as a result of the inability of the method to extract ASFV.","1999"
2833,"Bluetongue virus"," Parsonson IM, et al. 1995. "," I. M. Parsonson, K. A. McColl (1995).  RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR Veterinary Microbiology, 46(#issue#),  143-149"," I. M. Parsonson, K. A. McColl","RETROSPECTIVE DIAGNOSIS OF BLUETONGUE VIRUS IN STORED FROZEN AND FIXED TISSUE SAMPLES USING PCR","Stored frozen ( - 70 degrees C) and formalin-fixed tissue samples constitute a valuable resource for retrospective studies of infectious diseases, or for diagnostic investigations. The polymerase chain reaction (PCB) affords an accurate and rapid method for detection of viral nucleic acids. It was applied to stored tissue samples collected from sheep inoculated with two Australian serotypes of bluetongue virus, BTV 1 and 23, and two North American serotypes, BTV 11 and 17. Specific nested PCR products were detected in both frozen and formalin-fixed samples from the Australian sheep after storage for 3.5 years. The tissues from sheep inoculated with the North American serotypes yielded specific nested PCR products after storage at - 70 degrees C for 14 years. No specific primary PCR products were detected in any frozen or formalin-fixed samples. The PCR assay offers a potential benefit for epidemiological studies, and for screening of stored semen, embryos and tissue banks.","1995"
30328,"West Nile virus"," Lund M, et al. 2017. "," M. Lund, V. Shearn-Bochsler, R.J. Dusek, J. Shivers, E. Hofmeister (2017).  Potential for waterborne and invertebrate transmission of West Nile virus in the Great Salt Lake, Utah Applied and Environmental Microbiology, 83(14),  #Pages#"," M. Lund, V. Shearn-Bochsler, R.J. Dusek, J. Shivers, E. Hofmeister","Potential for waterborne and invertebrate transmission of West Nile virus in the Great Salt Lake, Utah","In November and December of 2013, a large mortality event involving 15,000 to 20,000 eared grebes (Podiceps nigricollis) occurred at the Great Salt Lake (GSL), UT. The onset of the outbreak in grebes was followed by a mortality event in >86 bald eagles (Haliaeetus leucocephalus). During the die-off, West Nile virus (WNV) was detected by reverse transcription-PCR (RT-PCR) or viral culture in the carcasses of grebes and eagles submitted to the National Wildlife Health Center. However, no activity of mosquitoes, the primary vectors of WNV, was detected by the State of Utah's WNV monitoring program. The transmission of WNV has rarely been reported during the winter in North America in the absence of known mosquito activity; however, the size of this die-off, the habitat in which it occurred, and the species involved are unique. We experimentally investigated whether WNV could survive in water with a high salt content, as found at the GSL, and whether brine shrimp, the primary food of migrating eared grebes on the GSL, could have played a role in the transmission of WNV to feeding birds. We found that WNV can survive up to 72 h at 4°C in water containing 30 to 150 ppt NaCl, and brine shrimp incubated with WNV in 30 ppt NaCl may adsorb WNV to their cuticle and, through feeding, infect epithelial cells of their gut. Both mechanisms may have potentiated the WNV die-off in migrating eared grebes on the GSL. © 2017 American Society for Microbiology. All Rights Reserved.","2017"
30429,"African swine fever virus"," Davies K, et al. 2017. "," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis (2017).  Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate Transboundary and Emerging Diseases, 64(2),  425"," K. Davies, L.C. Goatley, C. Guinat, C.L. Netherton, S. Gubbins, L.K. Dixon, A.L. Reis","Survival of African Swine Fever Virus in Excretions from Pigs Experimentally Infected with the Georgia 2007/1 Isolate","African swine fever virus (ASFV) causes a lethal haemorrhagic disease of swine which can be transmitted through direct contact with infected animals and their excretions or indirect contact with contaminated fomites. The shedding of ASFV by infected pigs and the stability of ASFV in the environment will determine the extent of environmental contamination. The recent outbreaks of ASF in Europe make it essential to develop disease transmission models in order to design effective control strategies to prevent further spread of ASF. In this study, we assessed the shedding and stability of ASFV in faeces, urine and oral fluid from pigs infected with the Georgia 2007/1 ASFV isolate. The half-life of infectious ASFV in faeces was found to range from 0.65 days when stored at 4°C to 0.29 days when stored at 37°C, while in urine it was found to range from 2.19 days (4°C) to 0.41 days (37°C). Based on these half-lives and the estimated dose required for infection, faeces and urine would be estimated to remain infectious for 8.48 and 15.33 days at 4°C and 3.71 and 2.88 days at 37°C, respectively. The half-life of ASFV DNA was 8 to 9 days in faeces and 2 to 3 days in oral fluid at all temperatures. In urine, the half-life of ASFV DNA was found to be 32.54 days at 4°C decreasing to 19.48 days at 37°C. These results indicate that ASFV in excretions may be an important route of ASFV transmission. © 2015 The Authors. Transboundary and Emerging Diseases Published by Blackwell Verlag GmbH.","2017"
31092,"African swine fever virus"," Sindryakova IP, et al. 2016. "," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov (2016).  The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions Sel'skokhozyaistvennaya Biologiya, 51(4),  467"," I.P. Sindryakova, Yu.P. Morgunov, A.Yu. Chichikin, I.Kh. Gazaev, D.A. Kudryashov, S.Zh. Tsybanov","The influence of temperature on the Russian isolate of African swine fever virus in pork products and feed with extrapolation to natural conditions","It is known that one of the ways to spread African swine fever (ASF) virus is alimentary way (e.g., through feeding animals with contaminated feed and slaughterhouse waste products not subjected to thermal treatment, not passed veterinary and sanitary examination, and derived from ep idemiologically disadvantaged regions). A variety of preserved food, such as corned beef, canned meat, bacon, etc., is made of pork products and by-products. Persistence of the virus in these products is not fully understood. For the first time we carried out studies on infectious activity of ASF virus isolates circulating in the Russian Federation, in contaminated pig products, feed, as well as in samples intended for veterinary-sanitary supervision. For this purpose, the 3-4 month-old piglets of 20-30 kg body weight were intramuscularly challenged with virus-containing blood. For inoculation we used ASFV isolate Volgograd-Kalach 2012 with the initial infectious titer of 7.5 lg HAU50/cm3 obtained from the National Collection of the SSINRRIVV&amp;M of RAAS. Three days after infection the animals were slaughtered, samples of internal organs and tissues were taken for virus isolation, and the pork was used for making corned beef, canned meat and salted lard. Blood, containing ASF virus, was also used for contamination of a compound feed and drinking water. To study effects of storage temperature on the virus infectious activity and genome detection, the samples were divided into aliquots and stored at 20-25 °C. (room temperature), 4-6 °C. (a common refrigerator); -16<U+22EF>-20 °C. (freezer). The temperatures selected for the storage of samples conform to the natural weather conditions at various seasons (20-25 °C. in the summer, -16<U+22EF>-20 °C. in winter); 4-6 °C. isolation was carried out in a primary culture of swine bone marrow cells for 5 days in two consecutive passages. Hemadsorption test (HAD) and real-time PCR were conducted for ASFV titer estimation and genome detection. As a result, the ASF virus was found in corned beef and lard stored at 20-25 °C. for 16 days. At storage temperature of 4-6 °C. the ASF virus was revealed in corned beef during the observation period (60 days). In frozen samples the ASFV infectious activity and DNA fragments were found throughout the entire study period (60 days). Thus, it is found that in food products and by-products from pigs slaughtered soon after ASF infecting the ASFV infectivity persists for a long time depending on the storage conditions and can pose a serious danger as a pathogen transmission factor. The data also allow to predict the temperature conditions conducive to maintaining circulation of the virus in.SF outbreaks.","2016"
31576,"African swine fever virus"," de Carvalho Ferreira HC, et al. 2014. "," H.C. de Carvalho Ferreira, E. Weesendorp, S. Quak, J.A. Stegeman, W.L.A. Loeffen (2014).  Suitability of faeces and tissue samples as a basis for non-invasive sampling for African swine fever in wild boar Veterinary Microbiology, 172(3-4),  449"," H.C. de Carvalho Ferreira, E. Weesendorp, S. Quak, J.A. Stegeman, W.L.A. Loeffen","Suitability of faeces and tissue samples as a basis for non-invasive sampling for African swine fever in wild boar","A challenging aspect of ASFV control in wild boar populations is the design and implementation of effective surveillance and monitoring programmes, both for early warning, and to determine the ongoing epidemiological situation in an infected population. Testing blood samples requires invasive sampling strategies like hunting or capture of wild boar. Besides being biased towards healthy animals, such strategies are also linked to further spread of the virus. Non-invasive sampling strategies would increase the reliability of surveillance of ASFV in wild boar populations, without the negative side effects. This study evaluates the potential of faeces and tissue samples as a basis for non-invasive sampling strategies for ASFV in wild boar. In the acute phase (0-21 days after infection), in comparison with virus detection in blood, virus can be detected in faeces 50-80% of the time. This percentage decreases to below 10% for the subacute/chronic phase. ASFV DNA is quite stable in faeces. Half-lives range from more than 2 years at temperature up to 12. °C, to roughly 15 days at temperatures of 30. °C. In tissue samples, stored at 20. °C, half-lives mostly range from 1.7 to 7.4 days. The sample of preference is the spleen, where the highest titres and highest half-life of ASFV DNA are observed. The level and duration of excretion of ASFV in the faeces, combined with the stability of the DNA, suggest that sampling of faeces could be the basis for a non-invasive sampling strategy to monitor ASFV in wild boar. © 2014 Elsevier B.V.","2014"
32315,"Vesicular stomatitis virus"," Zimmer B, et al. 2013. "," B. Zimmer, K. Summermatter, G. Zimmer (2013).  Stability and inactivation of vesicular stomatitis virus, a prototype rhabdovirus Veterinary Microbiology, 162(1),  78"," B. Zimmer, K. Summermatter, G. Zimmer","Stability and inactivation of vesicular stomatitis virus, a prototype rhabdovirus","Viruses may remain infectious outside the host cell for considerable time and represent a source of accidental infection if not properly inactivated. In this study, the survival of vesicular stomatitis virus (VSV) in suspension and dried on surfaces was analyzed. In addition, the sensitivity of VSV to disinfectants and physicochemical changes was investigated. VSV showed a notable stability in suspension at 4 °C with virus titers remaining high over several weeks. The presence of serum proteins had a stabilizing effect on virus infectivity, whereas elevated temperatures reduced survival times. VSV dried on polystyrene, glass or stainless steel surfaces remained infectious for at least 6 days at ambient temperature. VSV showed a remarkable resistance to extreme pH in particular in the alkaline range, but could be rapidly inactivated by heating at 55 °C or higher. The virus was highly sensitive to inactivation by commonly used disinfectants such as aldehydes, alcohols, and detergents. The high stability of VSV on surfaces and in suspension may facilitate dissemination of the virus in livestock by contaminated feeding and water troughs, hands, and milking equipment. This knowledge on the sensitivity of VSV to disinfectants will help to set up appropriate hygiene measures. © 2012 Elsevier B.V.","2013"
33197,"Venezuelan equine encephalitis virus"," Wade MM, et al. 2010. "," M.M. Wade, A.E. Chambers, J.M. Insalaco, A.W. Zulich (2010).  Survival of viral biowarfare agents in disinfected waters International Journal of Microbiology, #volume#(#issue#),  #Pages#"," M.M. Wade, A.E. Chambers, J.M. Insalaco, A.W. Zulich","Survival of viral biowarfare agents in disinfected waters","Protecting civilian and military water supplies has received more attention since the United States began its war on terror in 2001. Both chlorine and bromine are used by branches of the U.S. military for disinfecting water supplies; however, limited data exists as to the effectiveness of these additives when used against viral biowarfare agents. The present study sought to evaluate the survival of selected viral biothreat agents in disinfected water. Disinfected water samples were spiked with vaccinia virus strain WR and Venezuelan equine encephalitis (VEE) virus strain TC-83 each separately to a final concentration of approximately 1×106 PFU/mL, and survival was assessed by plaque assay. Both viruses were inactivated by 1mg/L free available chlorine (FAC) and 2mg/L total bromine within one hour. In conclusion, these results demonstrate that both chlorine and bromine are effective disinfectants against vaccinia virus and VEE strain TC-83 at the concentrations tested. Copyright © 2010 Mary Margaret Wade et al.","2010"
33207,"Venezuelan equine encephalitis virus"," Sagripanti J-L, et al. 2010. "," J.-L. Sagripanti, A.M. Rom, L.E. Holland (2010).  Persistence in darkness of virulent alphaviruses, Ebola virus, and Lassa virus deposited on solid surfaces Archives of Virology, 155(12),  2035"," J.-L. Sagripanti, A.M. Rom, L.E. Holland","Persistence in darkness of virulent alphaviruses, Ebola virus, and Lassa virus deposited on solid surfaces","Ebola, Lassa, Venezuelan equine encephalitis, and Sindbis viruses were dried onto solid surfaces, incubated for various time periods under controlled conditions of temperature and relative humidity, and quantitatively eluted from surfaces, and viral titers in the recovered samples were determined. The viral inactivation kinetics that were obtained indicated that viral resistance to natural inactivation in the dark follows (in decreasing order of stability) alphavirus > Lassa virus > Ebola virus. The findings reported in this study on the natural decay in the dark should assist in understanding the biophysical properties of enveloped RNA viruses outside the host and in estimating the persistence of viruses in the environment during epidemics or after an accidental or intentional release. © 2010 US Government.","2010"
