"Refid","agent","targetSpecies","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
9034,"Leishmania infantum","Dog (Canis lupus familiaris)"," Laura Manna, et al. 2015."," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino (2015).  Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol Parasites & Vectors, 8(#issue#),  #Pages#"," Laura Manna, Raffaele Corso, Giorgio Galiero, Anna Cerrone, Paolo Muzj, Angelo Elio Gravino","Long-term follow-up of dogs with leishmaniosis treated with meglumine antimoniate plus allopurinol versus miltefosine plus allopurinol","Background: Visceral leishmaniosis is a potentially life-threatening illness caused by a protozoan parasite of the genus Leishmania. It is found mainly in areas where both the parasite and its vector are endemic and is one of the most challenging infectious diseases in the world to control. HIV infected patients are vulnerable to Leishmania infections, and the main reservoir hosts of Leishmania infantum parasites are domestic dogs. Here, we evaluated the long-term efficacy of treatment with meglumine antimoniate plus allopurinol (G1) compared to miltefosine plus allopurinol (G2) in dogs naturally infected L. infantum. Methods: Eighteen dogs with leishmaniosis were divided into the following two groups: G1 (n = 9) was treated subcutaneously with meglumine antimoniate (100 mg/kg/day/30 days) plus allopurinol (10 mg/kg/per day/30 days), while G2 (n = 9) was treated orally with miltefosine (2 mg/Kg/day/30 days) plus allopurinol (10 mg/kg/day/30 days). Thereafter, the same dose of allopurinol was administered to both groups for 6 years. Leishmania DNA in lymph node aspirates from the G1 and G2 dogs was quantified by real-time quantitative PCR at baseline and every 3 months for 24 months, and then at 28, 36, 48, 60 and 72 months. At each assessment, the dogs were examined for signs of disease, and their clinical scores were recorded. Results: Both combination therapies produced significant clinical improvements in the dogs, with a significant reduction in the parasitic load in the lymph nodes of the dogs from both groups after 3 months of treatment. Clinical relapses were observed in four dogs from G2 (miltefosine/allopurinol), and just one dog from G1 (meglumine antimoniate/allopurinol). All dogs that relapsed had increased clinical scores, and increased anti-Leishmania antibody titers and parasitic loads in their lymph nodes. Conclusions: Long-term, the clinical and laboratory findings of the G1 dogs were more stable than those of the G2 dogs, thus indicating that meglumine antimoniate had better clinical efficacy than miltefosine. The results suggest that treatment with allopurinol as a maintenance therapy is crucial for stabilizing the care of canine",2015
9335,"Crimean-Congo haemorrhagic fever virus","Human (homo sapiens) "," Rahmet Guner, et al. 2014."," Rahmet Guner, Imran Hasanoglu, Mehmet Akin Tasyaran, Derya Yapar, Siran Keske, Tumer Guven, Gul Ruhsar Yilmaz (2014).  Is Ribavirin Prophylaxis Effective for Nosocomial Transmission of Crimean-Congo Hemorrhagic Fever? Vector-Borne and Zoonotic Diseases, 14(#issue#),  601-605"," Rahmet Guner, Imran Hasanoglu, Mehmet Akin Tasyaran, Derya Yapar, Siran Keske, Tumer Guven, Gul Ruhsar Yilmaz","Is Ribavirin Prophylaxis Effective for Nosocomial Transmission of Crimean-Congo Hemorrhagic Fever?","Crimean-Congo hemorrhagic fever (CCHF) is a viral zoonotic disease that is transmitted primarily through contact with ticks. Nosocomial cases and outbreaks of CCHF have been reported from many countries. Health care workers (HCWs) are at risk of exposure to CCHF. In our study, we evaluated seven HCWs' exposure to confirmed CCHF patients' infected blood and body fluids and prophylactic efficacy of the ribavirin on nosocomial transmission of CCHF retrospectively. Between 2007 and 2013, 150 CCHF cases were admitted to our clinic. During the follow-up of these patients, four doctors and three nurses had contact with infected blood and body fluids through needle stick injury, contact of skin and mucosal surfaces, and probable aerosolization. All of the index cases' diagnoses of CCHF were confirmed during the contact. Ribavirin prophylaxis was administered within 0.5-1 h in six out of seven cases. All of these cases' CCHF virus PCR results were negative. One physician had no contact with infected blood or body fluid, so ribavirin prophylaxis was not administered. The physician developed CCHF and diagnosis was confirmed. Although efficacy of ribavirin for prophylaxis is not clear and very few data exist on prophylactic usage of ribavirin, lack of clinical manifestations in our cases that were given ribavirin compared with the developed clinical manifestations in the physician may be explained by the prophylactic efficacy of the ribavirin.",2014
9338,"Leishmania infantum","Dog (Canis lupus familiaris)"," Emanuele Brianti, et al. 2014."," Emanuele Brianti, Gabriella Gaglio, Ettore Napoli, Luigi Falsone, Chiara Prudente, Fabrizio Solari Basano, Maria S. Latrofa, Viviana D. Tarallo, Filipe Dantas-Torres, Gioia Capelli, Dorothee Stanneck, Salvatore Giannetto, Domenico Otranto (2014).  Efficacy of a slow-release imidacloprid (10%)/flumethrin (4.5%) collar for the prevention of canine leishmaniosis Parasites & Vectors, 7(#issue#),  #Pages#"," Emanuele Brianti, Gabriella Gaglio, Ettore Napoli, Luigi Falsone, Chiara Prudente, Fabrizio Solari Basano, Maria S. Latrofa, Viviana D. Tarallo, Filipe Dantas-Torres, Gioia Capelli, Dorothee Stanneck, Salvatore Giannetto, Domenico Otranto","Efficacy of a slow-release imidacloprid (10%)/flumethrin (4.5%) collar for the prevention of canine leishmaniosis","Background: The efficacy of a slow-release insecticidal and repellent collar containing 10% imidacloprid and 4.5% flumethrin (Seresto, Bayer Animal Health) in preventing Leishmania infantum infection was evaluated in a large population of dogs living in a hyper-endemic area of Sicily (Italy). Methods: A total of 219 dogs, negative for L. infantum were enrolled in a multicentre, controlled study. Dogs were divided into two homogeneous groups, defined as G1 (n = 102) and G2 (n = 117). Before the start of the sand fly season, dogs in G1 were treated with the collar while animals in G2 were left untreated, serving as negative controls. Dogs were serially sampled on day D90, D180, D210 and D300 in order to assess Leishmania infection by IFAT, PCR on skin (D210-D300) and bone marrow (D300) and cytology on bone marrow aspirate (D300). Results: Three dogs (2.9%) in G1 and 41 (40.2%) in G2 became positive for L. infantum in at least one of the diagnostic tests employed in the study. The number of seropositive dogs in G2 increased in the course of the study from 15 (D90) to 41 (D300), with some of them also positive in other diagnostic tests. Eight (19.6%) of the seropositive dogs in G2 showed an increase in antibody titers ranging from 1:160 to 1:1,280. At the last follow-up, some of dogs in G2 displayed overt clinical signs suggestive of leishmaniosis. The mean incidence density rate at the final follow-up was 4.0% for G1 and 60.7% for G2, leading to a mean efficacy of the collar in protecting dogs at both sites of 93.4%. Conclusions: The slow-release collar tested in this study was shown to be safe and highly effective in preventing L. infantum infection in a large population of dogs. Protection conferred by a single collar (up to eight months) spanned an entire sand fly season in a hyper-endemic area of southern Italy. The regular use of collars, at least during the sand fly season, may represent a reliable and sustainable strategy for the prevention of leishmaniosis in dogs living in or travelling to an endemic area.",2014
9400,"Leishmania infantum","Dog (Canis lupus familiaris)"," Josie Haydee Lima Ferreira, et al. 2014."," Josie Haydee Lima Ferreira, Lucilene dos Santos Silva, Ieda Maria Longo-Maugeri, Simone Katz, Clara Lucia Barbieri (2014).  Use of a Recombinant Cysteine Proteinase from Leishmania (Leishmania) infantum chagasi for the Immunotherapy of Canine Visceral Leishmaniasis Plos Neglected Tropical Diseases, 8(#issue#),  #Pages#"," Josie Haydee Lima Ferreira, Lucilene dos Santos Silva, Ieda Maria Longo-Maugeri, Simone Katz, Clara Lucia Barbieri","Use of a Recombinant Cysteine Proteinase from Leishmania (Leishmania) infantum chagasi for the Immunotherapy of Canine Visceral Leishmaniasis","Background: A recombinant cysteine proteinase from Leishmania (Leishmania) infantum chagasi (rLdccys1) was previously shown to induce protective immune responses against murine and canine visceral leishmaniasis. These findings encouraged us to use rLdccys1 in the immunotherapy of naturally infected dogs from Teresina, Piaui, a region of high incidence of visceral leishmaniasis in Brazil. Methodology/Principal Findings: Thirty naturally infected mongrel dogs displaying clinical signs of visceral leishmaniasis were randomly divided in three groups: one group received three doses of rLdccys1 in combination with the adjuvant Propionibacterium acnes at one month interval between each dose; a second group received three doses of P. acnes alone; a third group received saline. The main findings were: 1) dogs that received rLdccys1 with P. acnes did not display increase of the following clinical signs: weight loss, alopecia, onychogryphosis, cachexia, anorexia, apathy, skin lesions, hyperkeratosis, ocular secretion, and enlarged lymph nodes; they also exhibited a significant reduction in the spleen parasite load in comparison to the control dogs; 2) rLdccys1-treated dogs exhibited a significant delayed type cutaneous hypersensitivity elicited by the recombinant antigen, as well as high IgG2 serum titers and low IgG1 serum titers; sera from rLdccys1-treated dogs also contained high IFN-gamma and low IL-10 concentrations; 3) control dogs exhibited all of the clinical signs of visceral leishmaniasis and had low serum IgG2 and IFN-gamma levels and high concentrations of IgG1 and IL-10; 4) all of the dogs treated with rLdccys1 were alive 12 months after treatment, whereas dogs which received either saline or P. acnes alone died within 3 to 7 months. Conclusions/Significance: These findings illustrate the potential use of rLdccys1 as an additional tool for the immunotherapy of canine visceral leishmaniasis and support further studies designed to improve the efficacy of this recombinant antigen for the treatment of this neglected disease.",2014
9402,"Hepatozoon canis","Dog (Canis lupus familiaris)"," Anna Sara De Tommasi, et al. 2014."," Anna Sara De Tommasi, Alessio Giannelli, Donato de Caprariis, Rafael Antonio Nascimento Ramos, Giancarlo Di Paola, Giuseppe Crescenzo, Filipe Dantas-Torres, Gad Baneth, Domenico Otranto (2014).  Failure of imidocarb dipropionate and toltrazuril/emodepside plus clindamycin in treating Hepatozoon canis infection Veterinary Parasitology, 200(#issue#),  242-245"," Anna Sara De Tommasi, Alessio Giannelli, Donato de Caprariis, Rafael Antonio Nascimento Ramos, Giancarlo Di Paola, Giuseppe Crescenzo, Filipe Dantas-Torres, Gad Baneth, Domenico Otranto","Failure of imidocarb dipropionate and toltrazuril/emodepside plus clindamycin in treating Hepatozoon canis infection","Hepatozoonosis caused by Hepatozoon canis (Eucoccidiorida, Hepatozoidae) is among the most widespread vector-borne infections of dogs, primarily transmitted by Rhipicephalus sanguineus sensu lato ticks. Based on the absence of a consensus on the treatment regimes for canine hepatozoonosis, the present study aimed to evaluate the efficacy of imidocarb dipropionate (5-6 mg/kg subcutaneously once a week for 6 weeks), and of toltrazuril/emodepside (Procox (R), 15 mg/kg once a day for 6 days) in association with clindamycin (15 mg/kg once a day for 21 days) in treating naturally infected dogs. At the enrolment time (TO), 32 dogs, cytologically or molecularly positive for H. canis, were assigned to test and control groups. Animals were treated according to the specific therapeutic protocol, and the presence of H. canis gamonts was assessed weekly by cytology and PCR throughout six months (T1-T19). In addition, any abnormality in leucocyte morphology was evaluated and recorded. Results indicate that, in spite of a reduction in the percentage of infected dogs, both treatments did not provide parasitological cure. Accordingly, new treatment protocols or active compounds against H. canis should be investigated. (C) 2013 Elsevier B.V. All rights reserved.",2014
9490,"Leishmania infantum","Dog (Canis lupus familiaris)"," Abdolali Malmasi, et al. 2014."," Abdolali Malmasi, Bijan Ziaie Ardestani, Mehdi Mohebali, Behnaz Akhoundi, Shadi Ziaie, Majid Masoudifard, Hamidreza Khorram Khorshid, Mehdi Nasiri, Saeed Bayanolhagh, Ehsan Mostafavi, Moin Delrobai, Vahid Siavashi (2014).  Evaluation of a Novel Herbal Immunomodulator Drug (IMOD) in Treatment of Experimental Canine Visceral leishmaniasis Iranian Journal of Pharmaceutical Research, 13(#issue#),  1357-1367"," Abdolali Malmasi, Bijan Ziaie Ardestani, Mehdi Mohebali, Behnaz Akhoundi, Shadi Ziaie, Majid Masoudifard, Hamidreza Khorram Khorshid, Mehdi Nasiri, Saeed Bayanolhagh, Ehsan Mostafavi, Moin Delrobai, Vahid Siavashi","Evaluation of a Novel Herbal Immunomodulator Drug (IMOD) in Treatment of Experimental Canine Visceral leishmaniasis","Toxicity and drug resistance against pentavalent antimonials, medications of choice in treatment of leishmaniasis for more than 5 decades, have become important subjects globally. This study was a randomized, open labeled trial that was designed to determine efficacy and safety of IMOD as a novel herbal immunomodulator drug for treatment of canine visceral leishmaniasis (CVL). Twenty healthy mongrel dogs were infected with Iranian strain of L. Infantum amastigotes and randomly divided to 5 groups with four animals for each included on: I: negative control (non-infected) II: Glucantime (R) III: Glucantime (R) plus IMOD (immune-chemotherapy) IV: IMOD and V: positive control (non-treated). Physical examination, hematological, biochemical, serological, parasitological, pathological and imaging evaluations were performed pre-/post-interventions every month for 3 months. Comparing with control groups (I&V), immune-chemotherapy group (Glucantime (R) plus IMOD) showed significantly higher efficacy in resolving the clinical signs and hematobiochemistry factors. Based on our results, using IMOD in combination with meglumine antimoniate (Glucantime (R)) has significantly improved CVL than the latter drug alone. So, it seems this new herbal medicine is useful as adjuvant therapy for canine visceral leishmaniasis.",2014
9684,"Leishmania infantum","Dog (Canis lupus familiaris)"," Santiago MariaEmiliaB, et al. 2013."," Maria Emilia B. Santiago, Luiz Silveira Neto, Eduardo Costa Alexandre, Danisio Prado Munari, Mariana Macedo C. Andrade, Marcos Arruda Somenzari, Paulo Cesar Ciarlini, V. M. F. de Lima (2013).  Improvement in clinical signs and cellular immunity of dogs with visceral leishmaniasis using the immunomodulator P-MAPA Acta Tropica, 127(#issue#),  174-180"," Maria Emilia B. Santiago, Luiz Silveira Neto, Eduardo Costa Alexandre, Danisio Prado Munari, Mariana Macedo C. Andrade, Marcos Arruda Somenzari, Paulo Cesar Ciarlini, V. M. F. de Lima","Improvement in clinical signs and cellular immunity of dogs with visceral leishmaniasis using the immunomodulator P-MAPA","This study investigated the immunotherapeutic potential of the protein aggregate magnesium-ammonium phospholinoleate-palmitoleate anhydride immuno-modulator (P-MAPA) on canine visceral leishmaniasis. Twenty mongrel dogs presenting clinical symptoms compatible with leishmaniasis and diagnosis confirmed by the detection of anti-leishmania antibodies were studied. Ten dogs received 15 doses of the immunomodulator (2.0 mg/kg) intramuscularly, and 10 received saline as a placebo. Skin and peripheral blood samples were collected following administration of the immunomodulator. The groups were followed to observe for clinical signals of remission; parasite load in the skin biopsies using real-time PCR, the cytokines IL-2, IL-10 and IFN-gamma, in the supernatant of peripheral blood mononuclear cells stimulated in vitro with either total promastigote antigen or phytohemagglutinin measured by capture ELISA, and changes in CD4(+) and CD8(+) T cell subpopulations evaluated by flow cytometry. Comparison between the groups showed that treatment with the immunomodulator promoted improvement in clinical signs and a significant reduction in parasite load in the skin. In peripheral blood mononuclear cell cultures, supernatants showed a decrease in IL-10 levels and an increase in IL-2 and IFN-gamma. An increase in CD8(+) T cells was observed in peripheral blood. In addition, the in vitro leishmanicidal action of P-MAPA was investigated using 3-(4,5-dimethylthiazol-2-y1)-2,5-diphenyltetrazolium bromide (MU) and no leishmanicidal activity was detected. These findings suggest that P-MAPA has potential as an immunotherapeutic drug in canine visceral leishmaniasis, since it assists in reestablishing partial immunocompetence of infected dogs. (C) 2013 Elsevier B.V. All rights reserved.",2013
9756,"Crimean-Congo haemorrhagic fever virus","Human (homo sapiens) "," Batool Sharifi-Mood, et al. 2013."," Batool Sharifi-Mood, Roya Alavi-Naini, Maliheh Metanat, Mehdi Mohammadi, Asad Shakeri, Ali Amjadi (2013).  Efficacy of high-dose methylprednisolone in patients with Crimean-Congo haemorrhagic fever and severe thrombocytopenia Tropical Doctor, 43(#issue#),  49-53"," Batool Sharifi-Mood, Roya Alavi-Naini, Maliheh Metanat, Mehdi Mohammadi, Asad Shakeri, Ali Amjadi","Efficacy of high-dose methylprednisolone in patients with Crimean-Congo haemorrhagic fever and severe thrombocytopenia","Crimean-Congo haemorrhagic fever (CCHF) is an acute viral haemorrhagic disease that is now endemic in south eastern Iran. The most important factor associated with mortality is a platelet count of less than 50,000/mL. The purpose of this study is to compare treated cases with severe thrombocytopenia using ribavirin with high-dose methylprednisolone (HDMP) with patients receiving ribavirin without HDMP. A clinical trial was conducted for confirmed patients with CCHF and severe thrombocytopenia (platelet count less than 50,000/mL) admitted to Boo-Ali Hospital in Zahedan between January 2010 and October 2011. The intervention group was given oral ribavirin, supportive managements and HDMP and the controls were treated with ribavirin and supportive management. Following HDMP therapy in hospitalized patients with severe thrombocytopenia, the platelet count increased within 36h and the leukocyte count within 48h of the beginning of treatment. Fewer in the intervention group required a transfusion of blood products than in the controls (P<0.001). No one in the intervention group died. It seems that high-dose methylprednisolone is effective in the treatment of patients with CCHF. The increased platelet count and reduction of blood product requirement for severe CCHF patients after receiving HDMP are promising results. Further investigation is necessary in order to determine the efficacy of corticosteroid and its effect on outcome.",2013
9770,"Leishmania infantum","Dog (Canis lupus familiaris)"," Domenico Otranto, et al. 2013."," Domenico Otranto, Filipe Dantas-Torres, Donato de Caprariis, Giancarlo Di Paola, Viviana D. Tarallo, Maria S. Latrofa, Riccardo P. Lia, Giada Annoscia, Edward B. Breitshwerdt, Cinzia Cantacessi, Gioia Capelli, Dorothee Stanneck (2013).  Prevention of Canine Leishmaniosis in a Hyper-Endemic Area Using a Combination of 10% Imidacloprid/4.5% Flumethrin Plos One, 8(#issue#),  #Pages#"," Domenico Otranto, Filipe Dantas-Torres, Donato de Caprariis, Giancarlo Di Paola, Viviana D. Tarallo, Maria S. Latrofa, Riccardo P. Lia, Giada Annoscia, Edward B. Breitshwerdt, Cinzia Cantacessi, Gioia Capelli, Dorothee Stanneck","Prevention of Canine Leishmaniosis in a Hyper-Endemic Area Using a Combination of 10% Imidacloprid/4.5% Flumethrin","Background: Dogs are the main reservoir hosts of Leishmania infantum, the agent of human zoonotic visceral leishmaniosis. This study investigated the efficacy of a polymer matrix collar containing a combination of 10% imidacloprid and 4.5% flumethrin as a novel prophylactic measure to prevent L. infantum infections in young dogs from a hyper-endemic area of southern Italy, with a view towards enhancing current control strategies against both human and canine leishmaniosis. Methodology/Principal Findings: The study was carried out on 124 young dogs, of which 63 were collared (Group A) while 61 were left untreated (Group B), from March-April 2011 until March 2012. Blood and skin samples were collected at baseline (April 2011) and at the first, second, third and fourth follow-up time points (July, September 2011 and November 2011, and March 2012, respectively). Bone marrow and conjunctiva were sampled at baseline and at the fourth follow-up. Serological, cytological and molecular tests were performed to detect the presence of L. infantum in the different tissues collected. At the end of the trial, no dog from Group A proved positive for L. infantum at any follow-up, whereas 22 dogs from Group B were infected (incidence density rate = 45.1%); therefore, the combination of 10% imidacloprid and 4.5% flumethrin was 100% efficacious for the prevention of L. infantum infection in young dogs prior to their first exposure to the parasite in a hyper-endemic area for CanL. Conclusions: The use of collars containing 10% imidacloprid and 4.5% flumethrin conferred long-term protection against infection by L. infantum to dogs located in a hyper-endemic area, thus representing a reliable and sustainable strategy to decrease the frequency and spread of this disease among the canine population which will ultimately result in the reduction of associated risks to human health.",2013
10064,"Leishmania infantum","Dog (Canis lupus familiaris)"," da Silva SydneiM, et al. 2012."," Sydnei M. da Silva, Izabela F. G. Amorim, Raul R. Ribeiro, Erly G. Azevedo, Cynthia Demicheli, Maria N. Melo, Wagner L. Tafuri, Nelder F. Gontijo, Marilene S. M. Michalick, Frederic Frezard (2012).  Efficacy of Combined Therapy with Liposome-Encapsulated Meglumine Antimoniate and Allopurinol in Treatment of Canine Visceral Leishmaniasis Antimicrobial Agents and Chemotherapy, 56(#issue#),  2858-2867"," Sydnei M. da Silva, Izabela F. G. Amorim, Raul R. Ribeiro, Erly G. Azevedo, Cynthia Demicheli, Maria N. Melo, Wagner L. Tafuri, Nelder F. Gontijo, Marilene S. M. Michalick, Frederic Frezard","Efficacy of Combined Therapy with Liposome-Encapsulated Meglumine Antimoniate and Allopurinol in Treatment of Canine Visceral Leishmaniasis","An innovative liposomal formulation of meglumine antimoniate (LMA) was recently reported to promote both long-term parasite suppression and reduction of infectivity to sand flies in dogs with visceral leishmaniasis. However, 5 months after treatment, parasites were still found in the bone marrow of all treated dogs. In order to improve treatment with LMA, the present study aimed to evaluate its efficacy in combination with allopurinol. Mongrel dogs naturally infected with Leishmania infantum were treated with six doses of LMA (6.5 mg Sb/kg of body weight/dose) given at 4-day intervals, plus allopurinol (20 mg/kg/24 h per os) for 140 days. Comparison was made with groups treated with LMA, allopurinol, empty liposomes plus allopurinol, empty liposomes, and saline. Dogs remained without treatment from day 140 to 200 after the start of treatment. The drug combination promoted both clinical improvement of dogs and significant reduction in the parasitic load in bone marrow and spleen on days 140 and 200 compared to these parameters in the pretreatment period. This is in contrast with the other protocols, which did not result in significant reduction of the bone marrow parasite load on day 200. Strikingly, the combined treatment, in contrast to the other regimens, induced negative quantitative PCR (qPCR) results in the liver of 100% of the dogs. Both xenodiagnosis and skin parasite determination by qPCR indicated that the drug combination was effective in blocking the transmission of skin parasites to sand flies. Based on all of the parasitological tests performed on day 200, 50% of the animals that received the combined treatment were considered cured.",2012
