refID;FullReference;groupID;country;diseaseStatus;year;agent;agentSubtypeType;agentDetails;targetSpecies;ageDC1;ageMonths;sampStrategy;sampUnit;sampUnitSize;route;testSubstanceCAT;dosageFreq;dosageInterval;dose;doseUnits;dayDose1;dayDose2;challengeType;challengeSubstance;challengeDose;challengeDoseUnits;challengeDay;lastVaccine;timePoint;experimentStatus;labTest;labDescription;labTarget;matrix;nTested;nPositive;testValue;testValueUnits;scaleMin;ScaleMax;deadUnits;mortalityTime;mortalityTimeUnits;efficacy;UCI_efficacy;LCI_efficacy;rowID;uniqueID;interventionType;dayDose1Std;dayDose2Std;challengeDayStd;timePointStd;experimentStatus2;ShortBibliography;Author;Title;Abstract;publicationYear
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;47;After challenge;Reverse-transcription PCR (RT-PCR);NucleoSpin RNA Virus Kit;Nucleic acid;Animal blood;5;NA;39;Cq/Ct;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;1;86251;vaccine;-21;NA;0;5;After challenge; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;49;After challenge;Reverse-transcription PCR (RT-PCR);NucleoSpin RNA Virus Kit;Nucleic acid;Animal blood;5;NA;39.5;Cq/Ct;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;2;86251;vaccine;-21;NA;0;7;After challenge; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;51;After challenge;Reverse-transcription PCR (RT-PCR);NucleoSpin RNA Virus Kit;Nucleic acid;Animal blood;5;NA;39.5;Cq/Ct;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;3;86251;vaccine;-21;NA;0;9;After challenge; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;54;After challenge;Reverse-transcription PCR (RT-PCR);NucleoSpin RNA Virus Kit;Nucleic acid;Animal blood;5;NA;40;Cq/Ct;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;4;86251;vaccine;-21;NA;0;12;After challenge; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;56;After challenge;Reverse-transcription PCR (RT-PCR);NucleoSpin RNA Virus Kit;Nucleic acid;Animal blood;5;NA;40;Cq/Ct;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;5;86251;vaccine;-21;NA;0;14;After challenge; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;42;Challenge day;Seroneutralisation test;The neutralising titer of each serum was defined as the highest dilution allowing neuralisation of the 100 TCID50;Antibody;Blood serum (as part-nature);5;4;0.6;titer;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;6;86251;vaccine;-21;NA;0;0;Challenge day; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;56;After challenge;Seroneutralisation test;The neutralising titer of each serum was defined as the highest dilution allowing neuralisation of the 100 TCID50;Antibody;Blood serum (as part-nature);5;5;1.68;titer;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;7;86251;vaccine;-21;NA;0;14;After challenge; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;0;1st vaccination day;ELISA, Competitive ELISA (C-ELISA);cELISA ID-screen bluetongue competition kit, ID VET, France, IP<35 is considered positive;Antibody;Blood serum (as part-nature);5;0;109;IP;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;8;86251;vaccine;-21;NA;0;-42;Not vaccinated/Before vaccination; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;21;2nd vaccination day;ELISA, Competitive ELISA (C-ELISA);cELISA ID-screen bluetongue competition kit, ID VET, France, IP<35 is considered positive;Antibody;Blood serum (as part-nature);5;0;117;IP;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;9;86251;vaccine;-21;NA;0;-21;Vaccinated, not challenged; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
8625; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara (2015).  Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines Vaccine, 33(#issue#),  512-518;1;France;not investigated/not given/not relevant;2013;Bluetongue virus;not investigated/not given/not relevant;BTV-8;Sheep (Ovis aries);not investigated/not given/not relevant;NA;Objective (random) sampling;animal;5;SUBCUTANEOUS;BTV-BTVPUR Alsap 8;1;NA;1;millilitre;21;NA;not investigated/not given/not relevant;not investigated/not given/not relevant;3;milliliter;42;21;28;Vaccinated, not challenged;ELISA, Competitive ELISA (C-ELISA);cELISA ID-screen bluetongue competition kit, ID VET, France, IP<35 is considered positive;Antibody;Blood serum (as part-nature);5;1;48;IP;NA;NA;0;NA;not investigated/not given/not relevant;NA;NA;NA;10;86251;vaccine;-21;NA;0;-14;Vaccinated, not challenged; Emmanuel Breard, et al. 2015.; Emmanuel Breard, Guillaume Belbis, Cyril Viarouge, Kyriaki Nomikou, Andy Haegeman, Kris De Clercq, Pascal Hudelet, Claude Hamers, Francis Moreau, Thomas Lilin, Benoit Durand, Peter Mertens, Damien Vitour, Corinne Sailleau, Stephan Zientara;Evaluation of adaptive immune responses and heterologous protection induced by inactivated bluetongue virus vaccines;Eradication of bluetongue virus is possible, as has been shown in several European countries. New serotypes have emerged, however, for which there are no specific commercial vaccines. This study addressed whether heterologous vaccines would help protect against 2 serotypes. Thirty-seven sheep were randomly allocated to 7 groups of 5 or 6 animals. Four groups were vaccinated with commercial vaccines against BTV strains 2, 4, and 9. A fifth positive control group was given a vaccine against BTV-8. The other 2 groups were unvaccinated controls. Sheep were then challenged by subcutaneous injection of either BTV-16 (2 groups) or BTV-8 (5 groups). Taken together, 24/25 sheep from the 4 experimental groups developed detectable antibodies against the vaccinated viruses. Furthermore, sheep that received heterologous vaccines showed significantly reduced viraemia and clinical scores for BTV-16 when compared to unvaccinated controls. Reductions in clinical signs and viraemia among heterologously vaccinated sheep were not as common after challenge with BTV-8. This study shows that heterologous protection can occur, but that it is difficult to predict if partial or complete protection will be achieved following inactivated-BTV vaccination. (C) 2014 Elsevier Ltd. All rights reserved.;2015
