Refid;Bibliography;Author;Title;Abstract;Accession Number;Article Number;Author Address;Book Title;Custom 3;custom 7;Database;Database Provider;Date;distiller_reference_created_date;distiller_reference_upload_date;DOI;Editor;electronic resource number;End Page;EP;Epub Date;File Attachment;http;id;ISBN;ISSN;Issue;Journal;Keywords;Language;Notes;Number;Number of Pages;Pages;PMID;Publisher;Reference Type;secondary author;Series Editor;Series Title;Short Title;tertiary title;Translated Author;Translated Title;Type;Type of Work;upload id;URL;Volume;Year;User;Level;"agent
Causative agent of vector borne diseases"
3;A. C. Dondona, O. Aschenborn, C. Pinoni, L. Di Gialleonardo, A. Maseke, G. Bortone, A. Polci, M. Scacchia, U. Molini and F. Monaco (2016).  Rift Valley Fever Virus among Wild Ruminants, Etosha National Park, Namibia, 2011 Emerging Infectious Diseases, 22(1),  128-130;A. C. Dondona, O. Aschenborn, C. Pinoni, L. Di Gialleonardo, A. Maseke, G. Bortone, A. Polci, M. Scacchia, U. Molini and F. Monaco;Rift Valley Fever Virus among Wild Ruminants, Etosha National Park, Namibia, 2011;After a May 2011 outbreak of Rift Valley fever among livestock northeast of Etosha National Park, Namibia, wild ruminants in the park were tested for the virus. Antibodies were detected in springbok, wildebeest, and black-faced impala, and viral RNA was detected in springbok. Seroprevalence was high, and immune response was long lasting.;WOS:000367418300025;;;;;;;;Jan;;;10.3201/eid2201.150725;;;;;;;;;;1080-6040;1;Emerging Infectious Diseases;;;"Times Cited: 0; 0";;;128-130;;;Journal Article;;;;Rift Valley Fever Virus among Wild Ruminants, Etosha National Park, Namibia, 2011;;;;;;;<Go to ISI>://WOS:000367418300025;22;2016;andrey.gogin;3;Rift Valley fever virus
4;A. Bosworth, T. Ghabbari, S. Dowall, A. Varghese, W. Fares, R. Hewson, E. Zhioua, M. Chakroun, H. Tiouiri, M. Ben Jemaa, A. Znazen and A. Letaief (2016).  Serologic evidence of exposure to Rift Valley fever virus detected in Tunisia New microbes and new infections, 9(#issue#),  1-7;A. Bosworth, T. Ghabbari, S. Dowall, A. Varghese, W. Fares, R. Hewson, E. Zhioua, M. Chakroun, H. Tiouiri, M. Ben Jemaa, A. Znazen and A. Letaief;Serologic evidence of exposure to Rift Valley fever virus detected in Tunisia;"Rift Valley fever virus (RVFv) is capable of causing dramatic outbreaks amongst economically important animal species and is capable of causing severe symptoms and mortality in humans. RVFv is known to circulate widely throughout East Africa; serologic evidence of exposure has also been found in some northern African countries, including Mauritania. This study aimed to ascertain whether RVFv is circulating in regions beyond its known geographic range. Samples from febrile patients (n=181) and nonfebrile healthy agricultural and slaughterhouse workers (n=38) were collected during the summer of 2014 and surveyed for exposure to RVFv by both serologic tests and PCR. Of the 219 samples tested, 7.8% of nonfebrile participants showed immunoglobulin G reactivity to RVFv nucleoprotein and 8.3% of febrile patients showed immunoglobulin M reactivity, with the latter samples indicating recent exposure to the virus. Our results suggest an active circulation of RVFv and evidence of human exposure in the population of Tunisia.";MEDLINE:26740887;;;;;;;;2016-Jan;;;10.1016/j.nmni.2015.10.010;;;;;;;;;;;;New microbes and new infections;;;"Times Cited: 0; 0";;;07-Jan;;;Journal Article;;;;Serologic evidence of exposure to Rift Valley fever virus detected in Tunisia;;;;;;;<Go to ISI>://MEDLINE:26740887;9;2016;andrey.gogin;3;Rift Valley fever virus
9;G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt (2015).  Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya American Journal of Tropical Medicine and Hygiene, 93(6),  1364-1370;G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt;Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya;In this cross-sectional seroepidemiological study we sought to examine the evidence for circulation of Rift Valley fever virus (RVFV) among herders in Madagascar and Kenya. From July 2010 to June 2012, we enrolled 459 herders and 98 controls (without ruminant exposures) and studied their sera (immunoglobulin G [IgG] and IgM through enzyme-linked immunosorbent assay [ELISA] and plaque reduction neutralization test [PRNT] assays) for evidence of previous RVFV infection. Overall, 59 (12.9%) of 459 herders and 7 (7.1%) of the 98 controls were positive by the IgG ELISA assay. Of the 59 ELISA-positive herders, 23 (38.9%) were confirmed by the PRNT assay (21 from eastern Kenya). Two of the 21 PRNT-positive study subjects also had elevated IgM antibodies against RVFV suggesting recent infection. Multivariate modeling in this study revealed that being seminomadic (odds ratio [OR] = 6.4, 95% confidence interval [CI] = 2.1-15.4) was most strongly associated with antibodies against RVFV. Although we cannot know when these infections occurred, it seems likely that some interepidemic RVFV infections are occurring among herders. As there are disincentives regarding reporting RVFV outbreaks in livestock or wildlife, it may be prudent to conduct periodic, limited, active seroepidemiological surveillance for RVFV infections in herders, especially in eastern Kenya.;WOS:000366540800040;;;;;;;;Dec;;;10.4269/ajtmh.15-0383;;;;;;;;;;0002-9637;6;American Journal of Tropical Medicine and Hygiene;;;"Times Cited: 0; 0";;;1364-1370;;;Journal Article;;;;Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya;;;;;;;<Go to ISI>://WOS:000366540800040;93;2015;andrey.gogin;3;Rift Valley fever virus
11;N. A. Al-Hamdan, A. A. Panackal, T. H. Al Bassam, A. Alrabea, M. Al Hazmi, Y. Al Mazroa, M. Al Jefri, A. S. Khan and T. G. Ksiazek (2015).  The Risk of Nosocomial Transmission of Rift Valley Fever PLoS neglected tropical diseases, 9(12),  e0004314-e0004314;N. A. Al-Hamdan, A. A. Panackal, T. H. Al Bassam, A. Alrabea, M. Al Hazmi, Y. Al Mazroa, M. Al Jefri, A. S. Khan and T. G. Ksiazek;The Risk of Nosocomial Transmission of Rift Valley Fever;In 2000, we investigated the Rift Valley fever (RVF) outbreak on the Arabian Peninsula-the first outside Africa-and the risk of nosocomial transmission. In a cross-sectional design, during the peak of the epidemic at its epicenter, we found four (0.6%) of 703 healthcare workers (HCWs) IgM seropositive but all with only community-associated exposures. Standard precautions are sufficient for HCWs exposed to known RVF patients, in contrast to other viral hemorrhagic fevers (VHF) such as Ebola virus disease (EVD) in which the route of transmission differs. Suspected VHF in which the etiology is uncertain should be initially managed with the most cautious infection control measures.;MEDLINE:26694834;;;;;;;;2015-Dec;;;10.1371/journal.pntd.0004314;;;;;;;;;;;12;PLoS neglected tropical diseases;;;"Times Cited: 0; 0";;;e0004314-e0004314;;;Journal Article;;;;The Risk of Nosocomial Transmission of Rift Valley Fever;;;;;;;<Go to ISI>://MEDLINE:26694834;9;2015;andrey.gogin;3;Rift Valley fever virus
16;H. Boshra, T. Thang, S. Babiuk and M. G. Hemida (2015).  Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia Plos One, 10(10),  #Pages#;H. Boshra, T. Thang, S. Babiuk and M. G. Hemida;Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia;Sheep and goat pox, peste des petits ruminants and Rift Valley fever are important diseases of small ruminant livestock. Sheep and goat pox, along with peste des petits ruminants, are endemic throughout most of Africa, Asia and the Middle East. Whereas Rift Valley fever is endemic in Africa, outbreaks in the Middle East have been reported over the past decade, including the Arabian Peninsula. Saudi Arabia is a major importer of livestock, and understanding the prevalence of these viral infections would be useful for disease control. In this study, sera from sheep and goats were collected from 3 regions in Saudi Arabia. They were evaluated for antibodies specific to sheep and goat pox, peste des petits ruminants and Rift Valley fever by virus neutralization assays. To the best of our knowledge, this is the first study to evaluate the seroprevalence of these viruses in sheep and goats.;WOS:000362962300081;;;;;;;;13-Oct;;;10.1371/journal.pone.0140328;;;;;;;;;;1932-6203;10;Plos One;;;"Times Cited: 0; 0";;;;;;Journal Article;;;;Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia;;;;;;;<Go to ISI>://WOS:000362962300081;10;2015;andrey.gogin;3;Rift Valley fever virus
19;H. J. Kim, J.-Y. Park, H.-Y. Jeoung, J.-Y. Yeh, Y.-S. Cho, J.-S. Choi, J.-Y. Lee, I.-S. Cho and H.-S. Yoo (2015).  Serological surveillance studies confirm the Rift Valley fever virus free status in South Korea Tropical Animal Health and Production, 47(7),  1427-1430;H. J. Kim, J.-Y. Park, H.-Y. Jeoung, J.-Y. Yeh, Y.-S. Cho, J.-S. Choi, J.-Y. Lee, I.-S. Cho and H.-S. Yoo;Serological surveillance studies confirm the Rift Valley fever virus free status in South Korea;Rift Valley fever is a mosquito-borne zoonotic disease of domestic ruminants. This disease causes abortions in pregnant animals, and it has a high mortality rate in newborn animals. Recently, a Rift Valley fever virus (RVFV) outbreak in the Arabian Peninsula increased its potential spread to new regions worldwide. In non-endemic or disease-free countries, early detection and surveillance are important for preventing the introduction of RVFV. In this study, a serological surveillance was conducted to detect antibodies against RVFV. A total of 2382 serum samples from goats and cattle were randomly collected from nine areas in South Korea from 2011 to 2013. These samples were tested for antibodies against RVFV, using commercial ELISA kits. None of the goats and cattle were positive for antibodies against RVFV. This finding suggests that this disease is not present in South Korea, and furthermore presents the evidence of the RVFV-free status of this country.;WOS:000361062500028;;;;;;;;Oct;;;10.1007/s11250-015-0858-8;;;;;;;;;;0049-4747;7;Tropical Animal Health and Production;;;"Times Cited: 0; 0";;;1427-1430;;;Journal Article;;;;Serological surveillance studies confirm the Rift Valley fever virus free status in South Korea;;;;;;;<Go to ISI>://WOS:000361062500028;47;2015;andrey.gogin;3;Rift Valley fever virus
21;H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523;H. A. Taha, S. A. Shoman and N. M. Alhadlag;Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA;The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.;WOS:000366659600016;;;;;;;;Sep;;;;;;;;;;;;;0127-5720;3;Tropical Biomedicine;;;"Times Cited: 0; 0";;;511-523;;;Journal Article;;;;Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA;;;;;;;<Go to ISI>://WOS:000366659600016;32;2015;andrey.gogin;3;Rift Valley fever virus
21;H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523;H. A. Taha, S. A. Shoman and N. M. Alhadlag;Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA;The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.;WOS:000366659600016;;;;;;;;Sep;;;;;;;;;;;;;0127-5720;3;Tropical Biomedicine;;;"Times Cited: 0; 0";;;511-523;;;Journal Article;;;;Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA;;;;;;;<Go to ISI>://WOS:000366659600016;32;2015;andrey.gogin;3;Bluetongue virus
21;H. A. Taha, S. A. Shoman and N. M. Alhadlag (2015).  Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA Tropical Biomedicine, 32(3),  511-523;H. A. Taha, S. A. Shoman and N. M. Alhadlag;Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA;The prevalence of some viral and haemoprotozoan infections in goats and sheep was investigated in the present study. The infections of Anaplasma spp. and Theileria spp. were encountered by PCR and cELISA for the detection of Anaplasma spp. Anaplasma spp. was more prevalent than Theileria spp. with a significant difference (P-value < 0.05) in both goats and sheep, but, the infection in sheep was more prevalent than goats. Also four viral infections were detected: Rift Valley Fever Virus (RVFV), Bluetongue Virus (BTV), Madina Visna Virus (MVV) and Schmallenberg, (SBV) with an overall prevalence of 56.6%, 40.4%, 36.0%, and 6.8% respectively. The factors related to the infections were also investigated. Detection of the antibodies against examined viruses and Anaplasma spp. indicated the widespread of these infections. So far to our knowledge, this is the first study that estimates the prevalence and distribution of MVV and SBV antibodies in Saudi Arabia. Both RVFV and BTV are widespread in KSA, causing Viremia in 7.2% and 25% respectively of total samples. These findings suggested that parasitic and viral infections are considered as important health risks for sheep and goats. For this reason, the current study introduces invaluable information for different governmental agencies for dealing with infection control meausers.;WOS:000366659600016;;;;;;;;Sep;;;;;;;;;;;;;0127-5720;3;Tropical Biomedicine;;;"Times Cited: 0; 0";;;511-523;;;Journal Article;;;;Molecular and serological survey of some haemoprotozoan, rickettsial and viral diseases of small ruminants from Al-Madinah Al Munawarah, KSA;;;;;;;<Go to ISI>://WOS:000366659600016;32;2015;andrey.gogin;3;Schmallenberg virus
23;N. Heinrich, C. D. Mangu, N. E. Ntinginya, G. Dobler, E. Saathoff, L. Maboko and M. Hoelscher (2015).  Rift Valley fever, Chikungunya and rickettsioses: synopsis of four seroprevalence studies on arthropod-borne diseases from South-Western Tanzania on geographic distribution and risk factors Tropical Medicine & International Health, 20(#issue#),  162-162;N. Heinrich, C. D. Mangu, N. E. Ntinginya, G. Dobler, E. Saathoff, L. Maboko and M. Hoelscher;Rift Valley fever, Chikungunya and rickettsioses: synopsis of four seroprevalence studies on arthropod-borne diseases from South-Western Tanzania on geographic distribution and risk factors;;WOS:000360758800393;;;;;;;;Sep;;;;;;;;;;;;;1360-2276;;Tropical Medicine & International Health;;;"Times Cited: 0; SI
; 1
; Hoelscher, Michael/D-3436-2012
; 0";;;162-162;;;Journal Article;;;;Rift Valley fever, Chikungunya and rickettsioses: synopsis of four seroprevalence studies on arthropod-borne diseases from South-Western Tanzania on geographic distribution and risk factors;;;;;;;<Go to ISI>://WOS:000360758800393;20;2015;andrey.gogin;3;Rift Valley fever virus
